prototype,episode_id,symbol,name,anchor_date,candidate_date,outcome,distance,days_since_anchor,candidate_close
HUMAN_600468,600206:20260707:5598,600206,有研新材,2026-07-07,2026-07-27,STRUCTURE_FAIL,9.0065,14,47.05
HUMAN_600468,000890:20260702:902,000890,,2026-07-02,2026-07-28,STRUCTURE_FAIL,10.5181,18,6.62
HUMAN_600468,002471:20260703:651,002471,,2026-07-03,2026-07-28,STRUCTURE_FAIL,10.6154,17,5.16
HUMAN_600468,000973:20260707:1458,000973,,2026-07-07,2026-07-27,NO_LAUNCH,10.6343,14,12.43
HUMAN_600468,002652:20260702:461,002652,,2026-07-02,2026-07-27,STRUCTURE_FAIL,10.7362,17,3.54
HUMAN_600468,002455:20260701:792,002455,,2026-07-01,2026-07-28,STRUCTURE_FAIL,11.0222,19,6.35
HUMAN_600468,002843:20260306:2793,002843,,2026-03-06,2026-03-19,STRUCTURE_FAIL,11.1009,9,23.48
HUMAN_600468,002757:20260708:1841,002757,,2026-07-08,2026-07-27,STRUCTURE_FAIL,11.2411,13,15.62
HUMAN_600468,603122:20260330:1692,603122,,2026-03-30,2026-04-09,STRUCTURE_FAIL,11.281,7,18.32
HUMAN_600468,000042:20240927:483,000042,,2024-09-27,2024-10-10,STRUCTURE_FAIL,11.3123,4,4.65
HUMAN_600468,603356:20260707:1793,603356,,2026-07-07,2026-07-27,STRUCTURE_FAIL,11.3546,14,13.88
HUMAN_600468,002674:20260708:2915,002674,兴业科技,2026-07-08,2026-07-27,STRUCTURE_FAIL,11.369,13,23.63
HUMAN_600468,600756:20240926:1214,600756,浪潮软件,2024-09-26,2024-10-11,NO_LAUNCH,11.4024,6,13.35
HUMAN_600468,605286:20260702:2800,605286,,2026-07-02,2026-07-28,STRUCTURE_FAIL,11.423,18,22.01
HUMAN_600468,603778:20260122:1801,603778,,2026-01-22,2026-01-23,STRUCTURE_FAIL,11.4454,1,18.6
HUMAN_600468,601179:20260305:1811,601179,中国西电,2026-03-05,2026-03-18,STRUCTURE_FAIL,11.4957,9,17.85
HUMAN_600468,603033:20240927:1481,603033,,2024-09-27,2024-10-10,STRUCTURE_FAIL,11.5495,4,14.33
HUMAN_600468,603285:20260708:4842,603285,,2026-07-08,2026-07-27,STRUCTURE_FAIL,11.5763,12,33.26
HUMAN_600468,605055:20250808:814,605055,,2025-08-08,2025-08-11,STRUCTURE_FAIL,11.5845,1,8.13
HUMAN_600468,603215:20250618:2114,603215,,2025-06-18,2025-06-24,STRUCTURE_FAIL,11.5981,4,19.78
HUMAN_600756,600756:20240926:1214,600756,浪潮软件,2024-09-26,2024-10-11,NO_LAUNCH,11.2827,6,13.35
HUMAN_600756,603122:20260330:1692,603122,,2026-03-30,2026-04-09,STRUCTURE_FAIL,11.394,7,18.32
