archetype,group,success_n,success_rate,control_n,control_rate,risk_ratio,odds_ratio,or_ci_lo,or_ci_hi
ARCH_SHALLOW_PULLBACK_HIGHER_LOW,FAILED_BREAKOUT,301,0.7359,711,0.7484,0.983,0.937,0.728,1.225
ARCH_SHALLOW_PULLBACK_HIGHER_LOW,NO_LAUNCH,301,0.7359,1159,0.6699,1.099,1.373,1.077,1.776
ARCH_SHALLOW_PULLBACK_HIGHER_LOW,STRUCTURE_FAIL,301,0.7359,3569,0.6591,1.117,1.442,1.151,1.838
ARCH_SHALLOW_PULLBACK_HIGHER_LOW,ALL_CONTROL,301,0.7359,5439,0.6719,1.095,1.361,1.09,1.741
ARCH_VOLUME_DRY_UP_REEXPANSION,FAILED_BREAKOUT,0,0.0,2,0.0021,,,,
ARCH_VOLUME_DRY_UP_REEXPANSION,NO_LAUNCH,0,0.0,9,0.0052,,,,
ARCH_VOLUME_DRY_UP_REEXPANSION,STRUCTURE_FAIL,0,0.0,29,0.0054,,,,
ARCH_VOLUME_DRY_UP_REEXPANSION,ALL_CONTROL,0,0.0,40,0.0049,,,,
ARCH_DAMAGE_FAST_REPAIR,FAILED_BREAKOUT,1,0.0024,16,0.0168,0.145,0.143,0.103,0.623
ARCH_DAMAGE_FAST_REPAIR,NO_LAUNCH,1,0.0024,13,0.0075,0.325,0.324,0.221,1.413
ARCH_DAMAGE_FAST_REPAIR,STRUCTURE_FAIL,1,0.0024,70,0.0129,0.189,0.187,0.152,0.754
ARCH_DAMAGE_FAST_REPAIR,ALL_CONTROL,1,0.0024,99,0.0122,0.2,0.198,0.17,0.749
ARCH_SUPPORT_SHAKEOUT_RECLAIM,FAILED_BREAKOUT,68,0.1663,143,0.1505,1.105,1.125,0.833,1.516
ARCH_SUPPORT_SHAKEOUT_RECLAIM,NO_LAUNCH,68,0.1663,177,0.1023,1.625,1.75,1.314,2.294
ARCH_SUPPORT_SHAKEOUT_RECLAIM,STRUCTURE_FAIL,68,0.1663,743,0.1372,1.212,1.254,0.956,1.617
ARCH_SUPPORT_SHAKEOUT_RECLAIM,ALL_CONTROL,68,0.1663,1063,0.1313,1.266,1.319,1.004,1.7
ARCH_HIGH_LEVEL_CONSOLIDATION,FAILED_BREAKOUT,92,0.2249,164,0.1726,1.303,1.391,1.056,1.829
ARCH_HIGH_LEVEL_CONSOLIDATION,NO_LAUNCH,92,0.2249,303,0.1751,1.284,1.367,1.061,1.756
ARCH_HIGH_LEVEL_CONSOLIDATION,STRUCTURE_FAIL,92,0.2249,752,0.1389,1.62,1.8,1.386,2.261
ARCH_HIGH_LEVEL_CONSOLIDATION,ALL_CONTROL,92,0.2249,1219,0.1506,1.494,1.637,1.274,2.06
ARCH_MULTI_PROBE_BREAKOUT_PREP,FAILED_BREAKOUT,21,0.0513,49,0.0516,0.995,0.995,0.561,1.674
ARCH_MULTI_PROBE_BREAKOUT_PREP,NO_LAUNCH,21,0.0513,60,0.0347,1.48,1.506,0.84,2.427
ARCH_MULTI_PROBE_BREAKOUT_PREP,STRUCTURE_FAIL,21,0.0513,189,0.0349,1.471,1.497,0.832,2.222
ARCH_MULTI_PROBE_BREAKOUT_PREP,ALL_CONTROL,21,0.0513,298,0.0368,1.395,1.416,0.827,2.116
ARCH_WEAK_REBOUND,FAILED_BREAKOUT,13,0.0318,35,0.0368,0.863,0.858,0.43,1.55
ARCH_WEAK_REBOUND,NO_LAUNCH,13,0.0318,69,0.0399,0.797,0.79,0.401,1.372
ARCH_WEAK_REBOUND,STRUCTURE_FAIL,13,0.0318,183,0.0338,0.941,0.939,0.442,1.519
ARCH_WEAK_REBOUND,ALL_CONTROL,13,0.0318,287,0.0355,0.897,0.893,0.418,1.485
ARCH_STRUCTURE_DECAY,FAILED_BREAKOUT,56,0.1369,92,0.0968,1.414,1.479,1.047,2.084
ARCH_STRUCTURE_DECAY,NO_LAUNCH,56,0.1369,341,0.1971,0.695,0.646,0.47,0.849
ARCH_STRUCTURE_DECAY,STRUCTURE_FAIL,56,0.1369,975,0.1801,0.76,0.722,0.539,0.947
