archetype,role,episode_id,symbol,name,anchor_date,candidate_date,outcome,days_since_anchor,candidate_close,max_dd_from_post_anchor_high_pct,candidate_close_vs_anchor_pct,pullback_min_vol_ratio,d0_vol_d1_vol_ratio,low_progression_3d_pct,days_to_recover_damage_open,dist_to_s1_pct,probe_count_3d
ARCH_DAMAGE_FAST_REPAIR,SUCCESS_EXAMPLE,002208:20260610:1674,002208,合肥城建,2026-06-10,2026-06-15,SUCCESS,3,16.45,-5.194,-1.7324,1.2598,1.3086,4.4737,1.0,-6.4278,0
ARCH_DAMAGE_FAST_REPAIR,CONTROL_LOOKALIKE,603917:20240815:1132,603917,合力科技,2024-08-15,2024-08-20,STRUCTURE_FAIL,3,11.49,-10.5008,1.5018,1.1167,1.275,-2.2065,1.0,-7.189,1
ARCH_DAMAGE_FAST_REPAIR,CONTROL_LOOKALIKE,002342:20250604:637,002342,,2025-06-04,2025-06-09,STRUCTURE_FAIL,3,6.13,-10.7784,-3.7677,0.8729,0.7604,-2.2727,1.0,-6.4122,1
ARCH_DAMAGE_FAST_REPAIR,CONTROL_LOOKALIKE,603669:20250424:462,603669,灵康药业,2025-04-24,2025-04-30,FAILED_BREAKOUT,4,4.52,-9.3074,-2.1645,1.5458,0.9748,6.3452,1.0,-7.7551,0
ARCH_DAMAGE_FAST_REPAIR,CONTROL_LOOKALIKE,001287:20240823:1887,001287,,2024-08-23,2024-08-28,STRUCTURE_FAIL,3,18.8,-12.1212,-0.371,0.9561,1.2539,-1.9042,1.0,-5.0505,1
ARCH_DAMAGE_FAST_REPAIR,CONTROL_LOOKALIKE,000925:20250312:952,000925,,2025-03-12,2025-03-17,STRUCTURE_FAIL,3,9.18,-12.5881,-3.5714,1.2877,1.1092,-1.4689,1.0,-7.5529,1
ARCH_DAMAGE_FAST_REPAIR,CONTROL_LOOKALIKE,002836:20260106:1669,002836,,2026-01-06,2026-01-09,STRUCTURE_FAIL,3,16.52,-11.9861,-1.0186,1.0792,1.5947,-3.8486,1.0,-6.1897,1
ARCH_DAMAGE_FAST_REPAIR,CONTROL_LOOKALIKE,603219:20250226:1913,603219,,2025-02-26,2025-03-03,STRUCTURE_FAIL,3,18.17,-13.5568,-5.0183,1.0826,0.8249,-2.9213,1.0,-9.1046,1
ARCH_DAMAGE_FAST_REPAIR,CONTROL_LOOKALIKE,002375:20241206:464,002375,,2024-12-06,2024-12-11,STRUCTURE_FAIL,3,4.65,-10.3239,0.2155,2.1339,1.2848,-0.2242,1.0,-5.8704,1
ARCH_HIGH_LEVEL_CONSOLIDATION,SUCCESS_EXAMPLE,605117:20240711:8063,605117,德业股份,2024-07-11,2024-07-16,SUCCESS,3,90.33,-4.1493,12.0303,0.6614,0.7694,6.2804,,-5.6901,0
ARCH_HIGH_LEVEL_CONSOLIDATION,SUCCESS_EXAMPLE,605133:20250423:3116,605133,嵘泰股份,2025-04-23,2025-04-25,SUCCESS,2,33.6,-4.127,7.8306,0.9126,0.5782,16.1538,,-5.3521,0
ARCH_HIGH_LEVEL_CONSOLIDATION,SUCCESS_EXAMPLE,002965:20260611:3854,002965,,2026-06-11,2026-06-15,SUCCESS,2,40.47,-7.3113,5.0078,1.2216,0.546,11.6805,,-3.6199,1
ARCH_HIGH_LEVEL_CONSOLIDATION,SUCCESS_EXAMPLE,603588:20260622:1761,603588,,2026-06-22,2026-06-24,SUCCESS,2,18.49,-7.7439,4.9972,1.1926,0.5998,9.0299,,-4.5431,1
ARCH_HIGH_LEVEL_CONSOLIDATION,SUCCESS_EXAMPLE,002796:20260417:5335,002796,,2026-04-17,2026-04-21,SUCCESS,2,55.81,-7.5312,4.6111,0.6367,0.6873,11.5031,,-7.5228,0
ARCH_HIGH_LEVEL_CONSOLIDATION,SUCCESS_EXAMPLE,600250:20250603:949,600250,,2025-06-03,2025-06-05,SUCCESS,2,9.9,-7.4468,4.3203,1.6999,0.991,8.6266,,-9.6715,0
ARCH_HIGH_LEVEL_CONSOLIDATION,SUCCESS_EXAMPLE,002276:20250219:993,002276,,2025-02-19,2025-02-21,SUCCESS,2,10.35,-6.7096,4.2296,1.7775,0.6277,12.4031,,-4.8713,1
ARCH_HIGH_LEVEL_CONSOLIDATION,SUCCESS_EXAMPLE,603083:20260408:11155,603083,,2026-04-08,2026-04-10,SUCCESS,2,116.24,-3.02,4.2044,0.7577,0.6681,8.8866,,-3.1172,1
ARCH_HIGH_LEVEL_CONSOLIDATION,CONTROL_LOOKALIKE,001319:20250516:2948,001319,,2025-05-16,2025-05-20,STRUCTURE_FAIL,2,29.03,-7.199,-1.5265,1.1273,0.5901,6.7771,,-5.0065,1
ARCH_HIGH_LEVEL_CONSOLIDATION,CONTROL_LOOKALIKE,000020:20251208:1719,000020,,2025-12-08,2025-12-10,STRUCTURE_FAIL,2,16.8,-6.6704,-2.2688,0.9089,0.6084,5.5627,,-5.0311,1
ARCH_HIGH_LEVEL_CONSOLIDATION,CONTROL_LOOKALIKE,002361:20250307:615,002361,,2025-03-07,2025-03-11,FAILED_BREAKOUT,2,6.09,-6.5625,-0.9756,0.8639,0.5346,7.7477,,-4.9922,1
ARCH_HIGH_LEVEL_CONSOLIDATION,CONTROL_LOOKALIKE,000008:20250219:296,000008,神州高铁,2025-02-19,2025-02-21,NO_LAUNCH,2,2.91,-6.5574,-1.6892,0.8044,0.5451,6.3433,,-4.5902,1
