feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi
days_since_anchor_episode,FAILED_BREAKOUT,409,950,2.0,1.0,2.0,1.0,1.0,2.0,1.0,-0.271,0.0,1.0
days_since_anchor_episode,NO_LAUNCH,409,1730,2.0,1.0,2.0,2.0,1.0,2.0,0.0,-0.0788,0.0,0.0
days_since_anchor_episode,STRUCTURE_FAIL,409,5415,2.0,1.0,2.0,2.0,1.0,2.0,0.0,-0.2109,0.0,0.0
days_since_anchor_episode,ALL_CONTROL,409,8095,2.0,1.0,2.0,2.0,1.0,2.0,0.0,-0.2175,0.0,0.0
days_since_anchor,FAILED_BREAKOUT,409,950,2.0,1.0,2.0,1.0,1.0,2.0,1.0,-0.271,0.0,1.0
days_since_anchor,NO_LAUNCH,409,1730,2.0,1.0,2.0,2.0,1.0,2.0,0.0,-0.0815,0.0,0.0
days_since_anchor,STRUCTURE_FAIL,409,5415,2.0,1.0,2.0,2.0,1.0,2.0,0.0,-0.2138,0.0,0.0
days_since_anchor,ALL_CONTROL,409,8095,2.0,1.0,2.0,2.0,1.0,2.0,0.0,-0.2184,0.0,0.0
anchor_close,FAILED_BREAKOUT,409,950,12.31,7.87,23.02,13.445,7.01,24.4375,-1.135,0.0284,-2.7831,0.9976
anchor_close,NO_LAUNCH,409,1730,12.31,7.87,23.02,12.175,6.86,21.245,0.135,-0.0401,-1.3926,2.21
anchor_close,STRUCTURE_FAIL,409,5415,12.31,7.87,23.02,11.86,6.665,21.08,0.45,-0.0513,-0.8952,2.1052
anchor_close,ALL_CONTROL,409,8095,12.31,7.87,23.02,12.08,6.77,21.41,0.23,-0.0395,-1.1652,2.1
anchor_volume,FAILED_BREAKOUT,409,950,34294116.0,14143990.0,86218044.0,32391718.0,14167210.0,74980233.0,1902398.0,-0.0224,-2540544.9125,7933762.325
anchor_volume,NO_LAUNCH,409,1730,34294116.0,14143990.0,86218044.0,30288601.0,13409365.0,73047151.0,4005515.0,-0.0401,-301809.1,9489418.8375
anchor_volume,STRUCTURE_FAIL,409,5415,34294116.0,14143990.0,86218044.0,33548611.0,14673847.5,75622378.5,745505.0,-0.0078,-3151110.65,5659980.7
anchor_volume,ALL_CONTROL,409,8095,34294116.0,14143990.0,86218044.0,32811826.0,14272773.0,74844615.5,1482290.0,-0.0164,-1416812.625,6965236.425
candidate_close,FAILED_BREAKOUT,409,950,12.11,7.71,22.43,13.445,7.01,24.12,-1.335,0.0334,-2.9003,0.901
candidate_close,NO_LAUNCH,409,1730,12.11,7.71,22.43,11.815,6.61,20.61,0.295,-0.0489,-1.0758,2.3762
candidate_close,STRUCTURE_FAIL,409,5415,12.11,7.71,22.43,11.67,6.56,20.69,0.44,-0.0528,-0.8153,2.2252
candidate_close,ALL_CONTROL,409,8095,12.11,7.71,22.43,11.92,6.61,20.975,0.19,-0.0419,-1.0952,2.141
candidate_volume,FAILED_BREAKOUT,409,950,36407960.0,14802800.0,80224760.0,40638730.0,17617382.5,83899798.75,-4230770.0,0.0437,-10465698.925,3119708.125
candidate_volume,NO_LAUNCH,409,1730,36407960.0,14802800.0,80224760.0,34891057.0,15488113.75,77461900.75,1516903.0,-0.014,-5574984.0375,10425039.1125
candidate_volume,STRUCTURE_FAIL,409,5415,36407960.0,14802800.0,80224760.0,42067781.0,18604728.0,89242593.0,-5659821.0,0.0707,-11618739.55,2145694.475
candidate_volume,ALL_CONTROL,409,8095,36407960.0,14802800.0,80224760.0,40044052.0,17637134.0,85738932.5,-3636092.0,0.0494,-9618992.05,3131549.95
lowest_low_since_anchor_pct,FAILED_BREAKOUT,409,950,-3.7004,-5.953,-1.8201,-3.1561,-5.5392,-1.2088,-0.5444,0.0803,-0.9527,-0.0522
lowest_low_since_anchor_pct,NO_LAUNCH,409,1730,-3.7004,-5.953,-1.8201,-3.9761,-7.2788,-1.8447,0.2757,-0.0666,-0.1298,0.6678
lowest_low_since_anchor_pct,STRUCTURE_FAIL,409,5415,-3.7004,-5.953,-1.8201,-3.8961,-6.5498,-1.8106,0.1957,-0.042,-0.1835,0.564
lowest_low_since_anchor_pct,ALL_CONTROL,409,8095,-3.7004,-5.953,-1.8201,-3.8076,-6.5599,-1.7363,0.1072,-0.0327,-0.2281,0.4964
candidate_close_vs_anchor_pct,FAILED_BREAKOUT,409,950,-1.242,-3.7616,1.8248,-0.3668,-2.7614,2.8016,-0.8752,0.1129,-1.4423,-0.2964
candidate_close_vs_anchor_pct,NO_LAUNCH,409,1730,-1.242,-3.7616,1.8248,-1.8414,-5.2857,1.2335,0.5994,-0.116,0.1586,1.1699
candidate_close_vs_anchor_pct,STRUCTURE_FAIL,409,5415,-1.242,-3.7616,1.8248,-0.9317,-4.0091,1.5658,-0.3103,-0.0223,-0.8163,0.1698
candidate_close_vs_anchor_pct,ALL_CONTROL,409,8095,-1.242,-3.7616,1.8248,-1.1329,-4.0565,1.6541,-0.1091,-0.0265,-0.5662,0.3896
candidate_low_vs_anchor_pct,FAILED_BREAKOUT,409,950,-3.653,-5.9087,-1.5933,-3.0373,-5.4415,-1.129,-0.6157,0.0824,-1.0141,-0.0958
candidate_low_vs_anchor_pct,NO_LAUNCH,409,1730,-3.653,-5.9087,-1.5933,-3.8616,-7.1586,-1.766,0.2086,-0.0654,-0.1423,0.6913
candidate_low_vs_anchor_pct,STRUCTURE_FAIL,409,5415,-3.653,-5.9087,-1.5933,-3.7885,-6.463,-1.7143,0.1355,-0.0434,-0.2166,0.5666
candidate_low_vs_anchor_pct,ALL_CONTROL,409,8095,-3.653,-5.9087,-1.5933,-3.7037,-6.4782,-1.6419,0.0507,-0.0331,-0.2638,0.4714
max_dd_from_post_anchor_high_pct,FAILED_BREAKOUT,409,950,-6.879,-9.3437,-5.0074,-6.9854,-9.5505,-4.9006,0.1064,-0.0099,-0.4842,0.5076
max_dd_from_post_anchor_high_pct,NO_LAUNCH,409,1730,-6.879,-9.3437,-5.0074,-7.1151,-10.8596,-4.8339,0.2361,-0.0533,-0.2828,0.6891
