episode_id,outcome,CHECKPOINT,quiet_score
601369:20260528:961,STRUCTURE_FAIL,0945,0.518519
000670:20260604:967,SUCCESS,0945,0.43771
002983:20260605:2484,FAILED_BREAKOUT,0945,0.474747
002631:20260605:745,FAILED_BREAKOUT,0945,0.195286
002585:20260604:1180,FAILED_BREAKOUT,0945,0.212121
001309:20260604:68085,FAILED_BREAKOUT,0945,0.346801
603020:20260605:1067,SUCCESS,0945,0.552189
002051:20260604:1202,FAILED_BREAKOUT,0945,0.407407
603938:20260605:5282,FAILED_BREAKOUT,0945,0.212121
601869:20260602:40874,FAILED_BREAKOUT,0945,0.377104
600516:20260605:583,STRUCTURE_FAIL,0945,0.242424
603950:20260604:7005,NO_LAUNCH,0945,0.306397
002963:20260608:1774,STRUCTURE_FAIL,0945,0.272727
600539:20260608:1540,STRUCTURE_FAIL,0945,0.319865
000833:20260608:2368,FAILED_BREAKOUT,0945,0.286195
600667:20260604:1636,STRUCTURE_FAIL,0945,0.683502
003030:20260601:2574,SUCCESS,0945,0.919192
002931:20260608:6560,FAILED_BREAKOUT,0945,0.572391
603070:20260605:1673,STRUCTURE_FAIL,0945,0.946128
003018:20260609:5468,FAILED_BREAKOUT,0945,0.131313
001215:20260609:4232,STRUCTURE_FAIL,0945,0.569024
600110:20260609:1181,FAILED_BREAKOUT,0945,0.400673
002051:20260609:1223,STRUCTURE_FAIL,0945,0.350168
603260:20260609:3933,FAILED_BREAKOUT,0945,0.464646
603020:20260609:1164,STRUCTURE_FAIL,0945,0.525253
002129:20260609:981,FAILED_BREAKOUT,0945,0.535354
000037:20260609:1139,FAILED_BREAKOUT,0945,0.430976
600641:20260609:2703,FAILED_BREAKOUT,0945,0.356902
002490:20260608:823,SUCCESS,0945,0.535354
601869:20260609:48433,STRUCTURE_FAIL,0945,0.616162
605111:20260609:6199,SUCCESS,0945,0.720539
605018:20260609:1977,STRUCTURE_FAIL,0945,0.205387
600714:20260605:3290,FAILED_BREAKOUT,0945,0.622896
600732:20260610:1207,FAILED_BREAKOUT,0945,0.380471
003030:20260610:2342,FAILED_BREAKOUT,0945,0.252525
603661:20260610:3675,STRUCTURE_FAIL,0945,0.309764
000811:20260609:3214,UNKNOWN,0945,0.740741
603335:20260609:768,FAILED_BREAKOUT,0945,0.414141
002583:20260609:939,FAILED_BREAKOUT,0945,0.636364
002837:20260609:6972,SUCCESS,0945,0.612795
002378:20260611:3363,FAILED_BREAKOUT,0945,0.286195
002842:20260611:3934,FAILED_BREAKOUT,0945,0.104377
002490:20260611:856,STRUCTURE_FAIL,0945,0.138047
600058:20260610:1034,NO_LAUNCH,0945,0.599327
002428:20260611:8824,FAILED_BREAKOUT,0945,0.582492
603315:20260611:1650,FAILED_BREAKOUT,0945,0.272727
600531:20260612:1309,NO_LAUNCH,0945,0.606061
002549:20260611:1815,STRUCTURE_FAIL,0945,0.646465
002637:20260612:1268,STRUCTURE_FAIL,0945,0.612795
000815:20260610:1687,FAILED_BREAKOUT,0945,0.791246
001360:20260612:1874,FAILED_BREAKOUT,0945,0.491582
002997:20260612:2938,FAILED_BREAKOUT,0945,0.713805
600667:20260611:1751,SUCCESS,0945,0.676768
002965:20260611:3854,SUCCESS,0945,0.73064
000969:20260612:2446,FAILED_BREAKOUT,0945,0.259259
603519:20260612:1364,FAILED_BREAKOUT,0945,0.700337
001206:20260612:1723,STRUCTURE_FAIL,0945,0.558923
603318:20260611:985,SUCCESS,0945,0.525253
002927:20260612:2017,FAILED_BREAKOUT,0945,0.144781
600601:20260612:1289,FAILED_BREAKOUT,0945,0.666667
603936:20260611:2372,SUCCESS,0945,0.683502
002208:20260610:1674,SUCCESS,0945,0.531987
600497:20260612:928,FAILED_BREAKOUT,0945,0.558923
600539:20260612:1634,STRUCTURE_FAIL,0945,0.808081
002745:20260615:1025,SUCCESS,0945,0.468013
000070:20260615:1881,SUCCESS,0945,0.518519
002174:20260615:1109,FAILED_BREAKOUT,0945,0.249158
000593:20260615:2267,FAILED_BREAKOUT,0945,0.52862
002106:20260615:1338,SUCCESS,0945,0.451178
000811:20260615:3385,FAILED_BREAKOUT,0945,0.323232
603993:20260612:1911,FAILED_BREAKOUT,0945,0.612795
603052:20260615:9078,FAILED_BREAKOUT,0945,0.639731
600237:20260615:1068,SUCCESS,0945,0.350168
002281:20260615:22547,FAILED_BREAKOUT,0945,0.622896
603070:20260615:1604,FAILED_BREAKOUT,0945,0.245791
600520:20260615:2958,SUCCESS,0945,0.690236
002734:20260616:1639,SUCCESS,0945,0.818182
002805:20260616:2420,FAILED_BREAKOUT,0945,0.427609
603950:20260615:6549,SUCCESS,0945,0.804714
002428:20260615:10149,FAILED_BREAKOUT,0945,0.548822
002729:20260616:1947,FAILED_BREAKOUT,0945,0.723906
603629:20260615:16737,FAILED_BREAKOUT,0945,0.468013
600362:20260615:4736,SUCCESS,0945,0.750842
603318:20260616:965,FAILED_BREAKOUT,0945,0.363636
000657:20260615:8690,FAILED_BREAKOUT,0945,0.555556
600563:20260615:15730,FAILED_BREAKOUT,0945,0.872054
002910:20260616:1121,FAILED_BREAKOUT,0945,0.360269
002645:20260616:3363,FAILED_BREAKOUT,0945,0.484848
