episode_id,symbol,candidate_date,outcome,CHECKPOINT,A_D0cum_vs_D1full,B_D0cum_vs_anchorfull,C_D0cum,D_D1full,E_anchorfull,D0cum_vs_median5,D1full_vs_median5,F_D0cum_vs_D1_sametime,D1_sametime_available
601369:20260528:961,601369,2026-05-29,STRUCTURE_FAIL,0945,0.6073,0.6073,14483787.0,23851203.0,23851203.0,1.7741481354634203,2.921581719684882,0.6072560365194158,True
000670:20260604:967,000670,2026-06-08,SUCCESS,0945,0.2003,0.2826,28011800.0,139829930.0,99118230.0,0.348230330971474,1.7383039577470223,4.5995632255627985,True
002983:20260605:2484,002983,2026-06-08,FAILED_BREAKOUT,0945,0.2408,0.2408,1840420.0,7644164.0,7644164.0,0.38036641180354835,1.5798476608153897,17.353285056951044,True
002631:20260605:745,002631,2026-06-08,FAILED_BREAKOUT,0945,0.4092,0.4092,18386100.0,44926796.0,44926796.0,0.7611658649477366,1.8599237215434767,166.69174977334544,True
002585:20260604:1180,002585,2026-06-08,FAILED_BREAKOUT,0945,0.2319,0.9321,68656816.0,296100486.0,73661660.0,0.37262260259205826,1.6070324863607615,5.136731684076201,True
001309:20260604:68085,001309,2026-06-08,FAILED_BREAKOUT,0945,0.203,0.1751,3355442.0,16528073.0,19166124.0,0.26648043818702494,1.3126163812180738,5.765354355061246,True
603020:20260605:1067,603020,2026-06-08,SUCCESS,0945,0.257,0.257,2943200.0,11450000.0,11450000.0,0.7043844533792839,2.7402833620524603,26.952380952380953,True
002051:20260604:1202,002051,2026-06-08,FAILED_BREAKOUT,0945,0.1788,0.2432,20491873.0,114597759.0,84253743.0,0.26267756546893056,1.4689853066293757,4.197480471926564,True
603938:20260605:5282,603938,2026-06-08,FAILED_BREAKOUT,0945,0.2402,0.2402,11379705.0,47384047.0,47384047.0,0.36519558030006954,1.5206408726000165,16.607277328289726,True
601869:20260602:40874,601869,2026-06-08,FAILED_BREAKOUT,0945,0.2098,0.2158,4262400.0,20317467.0,19754083.0,0.2157731138418321,1.028519876118775,5.109174074393717,True
600516:20260605:583,600516,2026-06-08,STRUCTURE_FAIL,0945,0.7334,0.7334,95285130.0,129930908.0,129930908.0,0.7488819895239345,1.0211763040433623,27.856571522457422,True
603950:20260604:7005,603950,2026-06-08,NO_LAUNCH,0945,0.1908,0.1376,1355900.0,7104922.0,9853722.0,0.1521411291589431,0.7972201900333479,2.5980072810883312,True
002963:20260608:1774,002963,2026-06-09,STRUCTURE_FAIL,0945,1.3438,1.3438,3653800.0,2719000.0,2719000.0,1.213564501129268,0.9030822372791285,1.3438028687017285,True
600539:20260608:1540,600539,2026-06-09,STRUCTURE_FAIL,0945,0.41,0.41,5743000.0,14008100.0,14008100.0,0.46294355683815114,1.1291937382107793,0.40997708468671695,True
000833:20260608:2368,000833,2026-06-09,FAILED_BREAKOUT,0945,1.3423,1.3423,32174055.0,23968869.0,23968869.0,1.1758634252352564,0.875988942063882,1.3423435917263147,True
600667:20260604:1636,600667,2026-06-09,STRUCTURE_FAIL,0945,0.2192,0.3435,66407995.0,302944282.0,193306269.0,0.17857946665719449,0.8146553484472272,0.21920861011662865,True
003030:20260601:2574,003030,2026-06-09,SUCCESS,0945,0.0898,0.1114,683200.0,7609289.0,6133300.0,0.08978499830930327,1.0,0.08982041045245585,True
002931:20260608:6560,002931,2026-06-09,FAILED_BREAKOUT,0945,0.496,0.496,9686485.0,19529177.0,19529177.0,0.8460240780755707,1.7056913800000348,0.4960286156184247,True
603070:20260605:1673,603070,2026-06-09,STRUCTURE_FAIL,0945,0.1159,0.1379,1258300.0,10854168.0,9124064.0,0.1364217875883603,1.176782167483412,0.11592781685339677,True
003018:20260609:5468,003018,2026-06-10,FAILED_BREAKOUT,0945,0.379,0.379,4996300.0,13183782.0,13183782.0,0.3789731960070335,1.0,0.3790364464599166,True
001215:20260609:4232,001215,2026-06-10,STRUCTURE_FAIL,0945,0.2121,0.2121,2112500.0,9960800.0,9960800.0,0.8180691631491306,3.8573364829802887,0.21220065895210544,True
600110:20260609:1181,600110,2026-06-10,FAILED_BREAKOUT,0945,0.7593,0.7593,77842391.0,102525242.0,102525242.0,0.44074487491425796,0.5804995758781873,0.7592509852354213,True
002051:20260609:1223,002051,2026-06-10,STRUCTURE_FAIL,0945,0.4436,0.4436,23972369.0,54044956.0,54044956.0,0.3551519634999714,0.8006789917454366,0.44361273374711385,True
603260:20260609:3933,603260,2026-06-10,FAILED_BREAKOUT,0945,0.4162,0.4162,6305270.0,15148108.0,15148108.0,0.5828657742099641,1.4003069967243513,0.4162414210408323,True
603020:20260609:1164,603020,2026-06-10,STRUCTURE_FAIL,0945,0.2785,0.2785,5375900.0,19301200.0,19301200.0,0.4695109170305677,1.6856943231441048,0.27852672372702214,True
002129:20260609:981,002129,2026-06-10,FAILED_BREAKOUT,0945,0.5108,0.5108,160162647.0,313536925.0,313536925.0,0.7369246429753206,1.4426153091438658,0.5110153462397992,True
000037:20260609:1139,000037,2026-06-10,FAILED_BREAKOUT,0945,0.3388,0.3388,12943300.0,38207900.0,38207900.0,0.2988952470683866,0.8823221056812566,0.3387615585340128,True
600641:20260609:2703,600641,2026-06-10,FAILED_BREAKOUT,0945,0.3887,0.3887,21378677.0,55005809.0,55005809.0,0.5166315260574692,1.3292560173716863,0.3886621683902513,True
002490:20260608:823,002490,2026-06-10,SUCCESS,0945,0.3646,0.6746,21453300.0,58847400.0,31800500.0,0.4429509623410229,1.215035097689731,0.3645810851459035,True
601869:20260609:48433,601869,2026-06-11,STRUCTURE_FAIL,0945,0.1458,0.1515,2621749.0,17984511.0,17308172.0,0.1386335001589256,0.9509894763292362,0.14577816433263044,True
605111:20260609:6199,605111,2026-06-11,SUCCESS,0945,0.1778,0.186,3973836.0,22350446.0,21360906.0,0.18603312050528195,1.0463248141253934,0.17779672047707684,True
605018:20260609:1977,605018,2026-06-11,STRUCTURE_FAIL,0945,0.2973,0.5401,8832000.0,29707121.0,16352896.0,0.29430189936687773,0.9899073975341552,0.2973024548558576,True
600714:20260605:3290,600714,2026-06-11,FAILED_BREAKOUT,0945,0.166,0.1778,3894600.0,23462001.0,21902502.0,0.1659960716905604,1.0,0.1659960716905604,True
600732:20260610:1207,600732,2026-06-11,FAILED_BREAKOUT,0945,0.7075,0.7075,45465123.0,64260281.0,64260281.0,1.4882786710062592,2.1035290194897036,0.7075151601033304,True
003030:20260610:2342,003030,2026-06-11,FAILED_BREAKOUT,0945,0.7456,0.7456,3195900.0,4286600.0,4286600.0,0.4593922493100276,0.6161741030358786,0.7494372010130381,True
603661:20260610:3675,603661,2026-06-11,STRUCTURE_FAIL,0945,0.2982,0.2982,1928580.0,6466582.0,6466582.0,0.29823792538314675,1.0,0.29823792538314675,True
000811:20260609:3214,000811,2026-06-11,UNKNOWN,0945,0.1376,0.1349,4124837.0,29980201.0,30585136.0,0.13758536842364733,1.0,0.1378672632393817,True
603335:20260609:768,603335,2026-06-11,FAILED_BREAKOUT,0945,0.1939,0.2278,6762090.0,34875699.0,29690312.0,0.28444709659391126,1.4670451476145945,0.19389116760068378,True
002583:20260609:939,002583,2026-06-11,FAILED_BREAKOUT,0945,0.1591,0.2137,12757800.0,80171386.0,59710537.0,0.21366078151331983,1.3426673084517728,0.15928795295989948,True
002837:20260609:6972,002837,2026-06-11,SUCCESS,0945,0.1254,0.1324,8978080.0,71581610.0,67823192.0,0.18888475507011562,1.505965069633434,0.12591833980911268,True
002378:20260611:3363,002378,2026-06-12,FAILED_BREAKOUT,0945,0.5173,0.5173,64323495.0,124338208.0,124338208.0,0.9248949869144967,1.787834837972221,0.5197688621664924,True
002842:20260611:3934,002842,2026-06-12,FAILED_BREAKOUT,0945,1.013,1.013,42389643.0,41845036.0,41845036.0,1.1364360165584868,1.1218354923297296,1.0205349786193834,True
002490:20260611:856,002490,2026-06-12,STRUCTURE_FAIL,0945,0.4448,0.4448,47243000.0,106210130.0,106210130.0,0.8097610808012766,1.820477735555407,0.44506156231182176,True
600058:20260610:1034,600058,2026-06-12,NO_LAUNCH,0945,0.1787,0.8841,7761129.0,43435165.0,8778859.0,0.7622400547790165,4.265877110010105,0.17868307856088494,True
002428:20260611:8824,002428,2026-06-12,FAILED_BREAKOUT,0945,0.289,0.289,37727358.0,130552271.0,130552271.0,0.5335848575522133,1.8464244150001956,0.28962898032919154,True
603315:20260611:1650,603315,2026-06-12,FAILED_BREAKOUT,0945,0.3743,0.3743,5568900.0,14876572.0,14876572.0,0.3743402714012341,1.0,0.3743402714012341,True
600531:20260612:1309,600531,2026-06-15,NO_LAUNCH,0945,0.5597,0.5597,42508754.0,75948460.0,75948460.0,0.9898683043028654,1.7685527389161773,0.5597052790800499,True
002549:20260611:1815,002549,2026-06-15,STRUCTURE_FAIL,0945,0.1706,0.1773,12786132.0,74951419.0,72115096.0,0.3036577990052638,1.7800209575390986,0.1718419162619197,True
002637:20260612:1268,002637,2026-06-15,STRUCTURE_FAIL,0945,0.289,0.289,8126000.0,28117700.0,28117700.0,0.28899945585876513,1.0,0.2896990352872391,True
000815:20260610:1687,000815,2026-06-15,FAILED_BREAKOUT,0945,0.2132,0.1872,11358957.0,53288375.0,60681866.0,0.2131601310792457,1.0,0.215517644072639,True
001360:20260612:1874,001360,2026-06-15,FAILED_BREAKOUT,0945,0.3698,0.3698,2031913.0,5494695.0,5494695.0,0.521766584195599,1.4109601352748058,0.3703346003377261,True
002997:20260612:2938,002997,2026-06-15,FAILED_BREAKOUT,0945,0.3064,0.3064,2087300.0,6811400.0,6811400.0,0.37259907176008566,1.2158871831488753,0.3074939968474242,True
600667:20260611:1751,600667,2026-06-15,SUCCESS,0945,0.2331,0.2869,97315100.0,417539451.0,339185838.0,0.2869079103473654,1.2310049660740847,0.23306803648597027,True
002965:20260611:3854,002965,2026-06-15,SUCCESS,0945,0.1482,0.3315,5111275.0,34491623.0,15416933.0,0.33153643464624255,2.2372558147590054,0.14974722908555246,True
000969:20260612:2446,000969,2026-06-15,FAILED_BREAKOUT,0945,1.0301,1.0301,39604930.0,38445855.0,38445855.0,0.8877531297303815,0.8617722112224522,1.0372086595409,True
603519:20260612:1364,603519,2026-06-15,FAILED_BREAKOUT,0945,0.1901,0.1901,3798132.0,19984612.0,19984612.0,1.0237331809556667,5.386571718130067,0.19005282664482054,True
001206:20260612:1723,001206,2026-06-15,STRUCTURE_FAIL,0945,0.6729,0.6729,3667504.0,5450644.0,5450644.0,1.8524861928684788,2.753164755169024,0.6734871667550569,True
603318:20260611:985,603318,2026-06-15,SUCCESS,0945,0.1815,0.176,15296255.0,84269384.0,86904189.0,0.22263590402875774,1.2265348929386006,0.1815161601276212,True
