feature,CHECKPOINT,group,rank_biserial,boot_ci_lo,boot_ci_hi,median_diff
s1,0945,FAILED_BREAKOUT,0.2789,-11.062,-0.7311,-5.77
s1,0945,STRUCTURE_FAIL,0.0941,-6.0909,5.175,-0.52
invalid,0945,FAILED_BREAKOUT,0.282,-9.8599,-0.6459,-5.31
invalid,0945,STRUCTURE_FAIL,0.0672,-5.34,4.891,-0.09
D1_close,0945,FAILED_BREAKOUT,0.283,-9.8569,-0.4948,-4.83
D1_close,0945,STRUCTURE_FAIL,0.0721,-5.5991,4.55,-0.34
D1_volume,0945,FAILED_BREAKOUT,-0.2211,-3454678.55,38190319.5,10792861.0
D1_volume,0945,STRUCTURE_FAIL,-0.2569,-3970581.0,37121887.6625,13925971.0
D1_upper_shadow_pct,0945,FAILED_BREAKOUT,-0.3211,0.0,2.0661,1.6802
D1_upper_shadow_pct,0945,STRUCTURE_FAIL,-0.3113,0.0,2.0903,1.6802
D1_close_location,0945,FAILED_BREAKOUT,0.332,-0.8955,0.0,-0.778
D1_close_location,0945,STRUCTURE_FAIL,0.2162,-0.8955,0.0,-0.778
dist_D1_close_to_s1_pct,0945,FAILED_BREAKOUT,0.1113,-2.098,1.2709,-0.6515
dist_D1_close_to_s1_pct,0945,STRUCTURE_FAIL,-0.2147,-0.3001,3.7519,1.7283
dist_D1_close_to_support_pct,0945,FAILED_BREAKOUT,0.0191,-1.0612,2.1712,0.4696
dist_D1_close_to_support_pct,0945,STRUCTURE_FAIL,0.0265,-2.1346,2.0619,-0.1134
dist_D1_close_to_invalid_pct,0945,FAILED_BREAKOUT,-0.0119,-1.4637,2.5018,0.9613
dist_D1_close_to_invalid_pct,0945,STRUCTURE_FAIL,0.0098,-2.0201,2.2019,-0.2458
pullback_volume_dry_up_pre_D0,0945,FAILED_BREAKOUT,0.0949,-0.2766,0.1581,-0.0514
pullback_volume_dry_up_pre_D0,0945,STRUCTURE_FAIL,-0.084,-0.1624,0.3217,0.1349
probe_count_pre_D0,0945,FAILED_BREAKOUT,-0.108,0.0,0.5,0.0
