CHECKPOINT,feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi,missingness,success_rate,control_rate,risk_ratio,odds_ratio,or_ci_lo,or_ci_hi
0945,s1,FAILED_BREAKOUT,40,97,15.02,9.2575,21.805,20.79,12.25,37.95,-5.77,0.2789,-11.062,-0.7311,0.0,,,,,,
0945,s1,NO_LAUNCH,40,12,15.02,9.2575,21.805,13.9,11.5675,34.555,1.12,0.1771,-28.2765,6.6936,0.0,,,,,,
0945,s1,STRUCTURE_FAIL,40,51,15.02,9.2575,21.805,15.54,10.835,24.62,-0.52,0.0941,-6.0909,5.175,0.0,,,,,,
0945,s1,ALL_CONTROL,40,160,15.02,9.2575,21.805,18.615,11.72,32.1825,-3.595,0.2123,-8.8564,1.8534,0.0,,,,,,
0945,invalid,FAILED_BREAKOUT,40,97,13.44,8.0475,19.7525,18.75,10.78,33.46,-5.31,0.282,-9.8599,-0.6459,0.0,,,,,,
0945,invalid,NO_LAUNCH,40,12,13.44,8.0475,19.7525,11.885,9.7625,27.9525,1.555,0.1,-19.015,6.6552,0.0,,,,,,
0945,invalid,STRUCTURE_FAIL,40,51,13.44,8.0475,19.7525,13.53,8.955,22.615,-0.09,0.0672,-5.34,4.891,0.0,,,,,,
0945,invalid,ALL_CONTROL,40,160,13.44,8.0475,19.7525,16.18,10.2,29.8,-2.74,0.1998,-7.9189,1.8825,0.0,,,,,,
0945,D1_close,FAILED_BREAKOUT,40,97,13.91,8.515,20.5575,18.74,11.39,35.55,-4.83,0.283,-9.8569,-0.4948,0.0,,,,,,
0945,D1_close,NO_LAUNCH,40,12,13.91,8.515,20.5575,12.215,9.78,31.85,1.695,0.1458,-26.227,6.5784,0.0,,,,,,
0945,D1_close,STRUCTURE_FAIL,40,51,13.91,8.515,20.5575,14.25,9.495,22.525,-0.34,0.0721,-5.5991,4.55,0.0,,,,,,
0945,D1_close,ALL_CONTROL,40,160,13.91,8.515,20.5575,16.985,10.715,30.855,-3.075,0.2055,-7.8555,1.7076,0.0,,,,,,
0945,D1_volume,FAILED_BREAKOUT,40,97,38378271.0,21600997.75,88396361.5,27585410.0,12836496.0,61045791.0,10792861.0,-0.2211,-3454678.55,38190319.5,0.0,,,,,,
0945,D1_volume,NO_LAUNCH,40,12,38378271.0,21600997.75,88396361.5,32690851.0,8298818.5,42421264.0,5687420.0,-0.3542,-8459176.65,43700418.7625,0.0,,,,,,
0945,D1_volume,STRUCTURE_FAIL,40,51,38378271.0,21600997.75,88396361.5,24452300.0,14205952.0,59077579.5,13925971.0,-0.2569,-3970581.0,37121887.6625,0.0,,,,,,
0945,D1_volume,ALL_CONTROL,40,160,38378271.0,21600997.75,88396361.5,27464760.5,12291668.5,59786917.5,10913510.5,-0.2425,-1191392.1375,44524682.8,0.0,,,,,,
0945,D1_upper_shadow_pct,FAILED_BREAKOUT,40,97,1.6802,0.0,2.2929,0.0,0.0,0.7242,1.6802,-0.3211,0.0,2.0661,0.0,,,,,,
0945,D1_upper_shadow_pct,NO_LAUNCH,40,12,1.6802,0.0,2.2929,1.258,0.0552,1.9251,0.4222,-0.0604,-1.5518,1.7784,0.0,,,,,,
0945,D1_upper_shadow_pct,STRUCTURE_FAIL,40,51,1.6802,0.0,2.2929,0.0,0.0,1.0797,1.6802,-0.3113,0.0,2.0903,0.0,,,,,,
0945,D1_upper_shadow_pct,ALL_CONTROL,40,160,1.6802,0.0,2.2929,0.0,0.0,1.1674,1.6802,-0.2984,0.0,2.0774,0.0,,,,,,
0945,D1_close_location,FAILED_BREAKOUT,40,97,0.222,0.0805,1.0,1.0,0.295,1.0,-0.778,0.332,-0.8955,0.0,0.0,,,,,,
0945,D1_close_location,NO_LAUNCH,40,12,0.222,0.0805,1.0,0.288,0.057,0.9835,-0.066,-0.1021,-0.7568,0.602,0.0,,,,,,
0945,D1_close_location,STRUCTURE_FAIL,40,51,0.222,0.0805,1.0,1.0,0.177,1.0,-0.778,0.2162,-0.8955,0.0,0.0,,,,,,
0945,D1_close_location,ALL_CONTROL,40,160,0.222,0.0805,1.0,1.0,0.2273,1.0,-0.778,0.2625,-0.889,0.0,0.0,,,,,,
0945,dist_D1_close_to_s1_pct,FAILED_BREAKOUT,40,97,-7.8255,-10.3963,-5.4528,-7.174,-9.7053,-5.2,-0.6515,0.1113,-2.098,1.2709,0.0,,,,,,
0945,dist_D1_close_to_s1_pct,NO_LAUNCH,40,12,-7.8255,-10.3963,-5.4528,-9.5171,-16.7256,-7.9345,1.6916,-0.3458,-0.3806,9.0924,0.0,,,,,,
0945,dist_D1_close_to_s1_pct,STRUCTURE_FAIL,40,51,-7.8255,-10.3963,-5.4528,-9.5538,-11.9075,-6.5019,1.7283,-0.2147,-0.3001,3.7519,0.0,,,,,,
0945,dist_D1_close_to_s1_pct,ALL_CONTROL,40,160,-7.8255,-10.3963,-5.4528,-7.874,-11.0682,-5.7075,0.0485,-0.0269,-1.3246,1.8812,0.0,,,,,,
0945,dist_D1_close_to_support_pct,FAILED_BREAKOUT,40,97,0.6732,-0.2964,3.1082,0.2036,-0.2195,4.1467,0.4696,0.0191,-1.0612,2.1712,0.0,,,,,,
0945,dist_D1_close_to_support_pct,NO_LAUNCH,40,12,0.6732,-0.2964,3.1082,5.7976,2.7759,13.3344,-5.1243,0.45,-13.5385,-0.0168,0.0,,,,,,
