feature,group,episode_id,symbol,name,candidate_date,anchor_date,outcome,CHECKPOINT,support,s1,invalid,checkpoint_price,session_low,session_high,vwap,feature_value
cum_volume_vs_D1_ratio,SUCCESS,003030:20260601:2574,003030,祖名股份,2026-06-09,2026-06-01,SUCCESS,1130,19.73863313673557196394147069,22.42,19.64,21.0,20.92,21.8,21.252115904734048,0.2696
cum_volume_vs_D1_ratio,SUCCESS,600058:20260622:1131,600058,,2026-06-24,2026-06-22,SUCCESS,1130,10.61750000000000000000000000,11.45,10.49,10.71,10.6,10.94,10.758683113051253,0.3745
cum_volume_vs_D1_ratio,SUCCESS,002124:20260701:232,002124,,2026-07-03,2026-07-01,SUCCESS,1130,2.237000000000000000000000002,2.4,2.22,2.25,2.22,2.34,2.2775921885378656,0.4507
cum_volume_vs_D1_ratio,SUCCESS,603588:20260622:1761,603588,,2026-06-24,2026-06-22,SUCCESS,1130,17.61,19.37,17.52,18.45,17.87,18.93,18.41304469149295,0.4134
cum_volume_vs_D1_ratio,SUCCESS,000670:20260604:967,000670,盈方微,2026-06-08,2026-06-04,SUCCESS,1130,8.797499999999999999999999992,9.88,8.75,9.15,9.11,9.57,9.319520089874175,0.4125
cum_volume_vs_D1_ratio,SUCCESS,600531:20260622:1481,600531,,2026-06-24,2026-06-22,SUCCESS,1130,14.81,16.91,14.74,15.0,14.44,15.44,14.83496001663617,0.5396
cum_volume_vs_D1_ratio,SUCCESS,600708:20260623:329,600708,,2026-06-24,2026-06-23,SUCCESS,1130,3.267166666666666666666666666,3.47,3.23,3.26,3.19,3.41,3.3150749311014556,0.7691
cum_volume_vs_D1_ratio,SUCCESS,002490:20260608:823,002490,山东墨龙,2026-06-10,2026-06-08,SUCCESS,1130,7.719431637835468818479465825,8.59,7.62,7.88,7.8,8.1,7.9540463967087005,0.7718
cum_volume_vs_D1_ratio,SUCCESS,002745:20260615:1025,002745,木林森,2026-06-16,2026-06-15,SUCCESS,1130,10.25,11.2,10.2,10.65,10.21,10.74,10.552102709899595,0.9736
cum_volume_vs_D1_ratio,SUCCESS,002728:20260629:880,002728,,2026-06-30,2026-06-29,SUCCESS,1130,8.74338223557893730774922753,9.56,8.62,9.0,8.8,9.18,9.026151645482605,1.8646
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,603063:20260625:5517,603063,,2026-06-29,2026-06-25,FAILED_BREAKOUT,1130,37.50920022515496137980287594,53.5,37.32,48.68,48.6,52.95,50.34243716857458,0.4204
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,001215:20260626:3917,001215,,2026-07-01,2026-06-26,FAILED_BREAKOUT,1130,36.84200000000000000000000002,39.29,36.66,37.24,35.73,37.48,36.72409274275495,0.4026
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,600026:20260617:1969,600026,,2026-06-22,2026-06-17,FAILED_BREAKOUT,1130,20.38690859943880854737750919,21.8,20.28,20.48,18.55,20.63,19.7767282338094,0.7753
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,002615:20260630:690,002615,,2026-07-01,2026-06-30,FAILED_BREAKOUT,1130,6.90,7.85,6.87,7.05,6.69,7.17,6.944435768690328,0.7019
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,002963:20260622:2144,002963,豪尔赛,2026-06-24,2026-06-22,FAILED_BREAKOUT,1130,21.44,23.58,21.33,21.97,21.17,22.62,22.01390191831359,0.3953
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,000811:20260615:3385,000811,,2026-06-16,2026-06-15,FAILED_BREAKOUT,1130,32.69499999999999999999999993,35.88,32.53,33.66,32.83,34.78,33.88314918335706,0.6593
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,003018:20260609:5468,003018,金富科技,2026-06-10,2026-06-09,FAILED_BREAKOUT,1130,51.97600000000000000000000002,58.0,51.72,50.5,49.3,56.45,51.71329068080249,0.9936
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,603630:20260727:1443,603630,拉芳家化,2026-07-28,2026-07-27,FAILED_BREAKOUT,1130,14.4550,15.51,14.36,14.93,14.46,15.08,14.800576590211639,1.0307
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,001206:20260623:1854,001206,,2026-06-24,2026-06-23,FAILED_BREAKOUT,1130,18.54,20.79,18.45,18.85,18.0,19.1,18.699388842877074,1.5037
cum_volume_vs_D1_ratio,FAILED_BREAKOUT,603070:20260615:1604,603070,,2026-06-16,2026-06-15,FAILED_BREAKOUT,1130,16.04008312182741116751269036,17.98,15.96,16.98,16.28,17.55,16.96932421263363,3.3566
cum_volume_vs_D1_ratio,NO_LAUNCH,603661:20260708:4267,603661,,2026-07-28,2026-07-08,NO_LAUNCH,1130,26.13969217248652449027419733,30.24,25.84,27.66,27.36,28.1,27.699625212136766,0.6741
cum_volume_vs_D1_ratio,NO_LAUNCH,002903:20260630:4542,002903,宇环数控,2026-07-02,2026-06-30,NO_LAUNCH,1130,34.45930040067915750975860264,47.5,34.29,43.54,42.0,44.35,43.17310174701874,0.373
cum_volume_vs_D1_ratio,NO_LAUNCH,605111:20260630:9914,605111,新洁能,2026-07-03,2026-06-30,NO_LAUNCH,1130,73.97428513657866625972836878,91.44,73.6,83.65,80.35,84.77,82.43765444061755,0.429
cum_volume_vs_D1_ratio,NO_LAUNCH,002403:20260706:1178,002403,,2026-07-27,2026-07-06,NO_LAUNCH,1130,7.995721768707482993197278905,10.23,7.96,8.05,7.81,8.12,8.010037339959064,0.6843
cum_volume_vs_D1_ratio,NO_LAUNCH,600058:20260610:1034,600058,,2026-06-12,2026-06-10,NO_LAUNCH,1130,10.19950000000000000000000000,11.2,10.05,10.5,9.67,10.75,10.211426046767368,0.6529
cum_volume_vs_D1_ratio,NO_LAUNCH,603950:20260604:7005,603950,长源东谷,2026-06-08,2026-06-04,NO_LAUNCH,1130,50.29492598666299956706638859,71.8,50.04,63.66,61.24,65.68,63.27940668322645,0.5947
cum_volume_vs_D1_ratio,NO_LAUNCH,002910:20260626:1227,002910,,2026-06-30,2026-06-26,NO_LAUNCH,1130,10.60126756605223919711552221,13.41,10.51,10.99,10.8,12.14,11.409842376084894,1.0147
cum_volume_vs_D1_ratio,NO_LAUNCH,603477:20260706:1673,603477,,2026-07-08,2026-07-06,NO_LAUNCH,1130,14.45397734627831715210355987,17.43,14.28,15.85,15.83,16.79,16.10744565703314,0.4897
cum_volume_vs_D1_ratio,NO_LAUNCH,603318:20260629:969,603318,水发燃气,2026-06-30,2026-06-29,NO_LAUNCH,1130,8.942056193090747877093066879,11.69,8.9,9.31,8.97,9.59,9.197856606223372,0.5643
cum_volume_vs_D1_ratio,NO_LAUNCH,600531:20260612:1309,600531,,2026-06-15,2026-06-12,NO_LAUNCH,1130,13.13250000000000000000000000,14.39,13.07,13.31,13.09,13.6,13.398350138165883,1.0315
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,603070:20260605:1673,603070,,2026-06-09,2026-06-05,STRUCTURE_FAIL,1130,16.18451766074450084602368866,17.22,16.04,16.3,16.17,16.82,16.481359137216796,0.3603
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,600539:20260612:1634,600539,狮头股份,2026-06-16,2026-06-12,STRUCTURE_FAIL,1130,15.68400000000000000000000000,17.31,15.61,16.17,15.98,16.58,16.201170953497684,0.3371
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,002693:20260702:1067,002693,,2026-07-06,2026-07-02,STRUCTURE_FAIL,1130,10.03400000000000000000000000,11.27,9.98,10.37,9.86,11.0,10.388655658137766,0.7734
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,002427:20260702:530,002427,,2026-07-06,2026-07-02,STRUCTURE_FAIL,1130,5.034000000000000000000000000,5.68,5.01,5.02,4.89,5.2,5.057227325875966,0.4879
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,605018:20260609:1977,605018,,2026-06-11,2026-06-09,STRUCTURE_FAIL,1130,16.40099999999999999999999998,18.18,16.32,16.55,16.05,17.8,16.858935396166043,0.8921
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,600488:20260623:497,600488,津药药业,2026-06-24,2026-06-23,STRUCTURE_FAIL,1130,4.97,5.6,4.95,5.09,4.76,5.33,5.050754862748157,0.878
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,002490:20260611:856,002490,山东墨龙,2026-06-12,2026-06-11,STRUCTURE_FAIL,1130,8.63833333333333333333333333,9.5,8.52,8.69,8.03,9.23,8.55201494909153,0.877
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,002051:20260727:905,002051,中工国际,2026-07-28,2026-07-27,STRUCTURE_FAIL,1130,8.813766666666666666666666668,11.36,8.77,8.93,8.85,9.27,9.00124112107155,1.343
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,002805:20260630:2859,002805,,2026-07-01,2026-06-30,STRUCTURE_FAIL,1130,28.59,30.58,28.45,28.86,27.4,28.95,28.150955668444727,2.3817
cum_volume_vs_D1_ratio,STRUCTURE_FAIL,000756:20260623:1344,000756,,2026-06-24,2026-06-23,STRUCTURE_FAIL,1130,14.0900,15.2,14.02,14.44,14.0,14.78,14.484276130427688,4.078
D1_upper_shadow_pct,SUCCESS,603988:20260727:1804,603988,中电电机,2026-07-28,2026-07-27,SUCCESS,1130,17.34311742182514358647096362,19.79,17.17,17.74,17.45,18.4,17.74181177575471,0.0
D1_upper_shadow_pct,SUCCESS,002106:20260615:1338,002106,,2026-06-16,2026-06-15,SUCCESS,1130,13.38,14.06,13.31,13.54,13.1,13.72,13.426165890470575,0.0
D1_upper_shadow_pct,SUCCESS,002728:20260629:880,002728,,2026-06-30,2026-06-29,SUCCESS,1130,8.74338223557893730774922753,9.56,8.62,9.0,8.8,9.18,9.026151645482605,0.0
D1_upper_shadow_pct,SUCCESS,002693:20260629:911,002693,,2026-06-30,2026-06-29,SUCCESS,1130,9.046000000000000000000000005,9.83,8.94,9.15,9.01,9.43,9.233779748893006,0.0
D1_upper_shadow_pct,SUCCESS,603717:20260623:679,603717,,2026-07-01,2026-06-23,SUCCESS,1130,5.999999999999999999999999999,6.91,5.97,6.26,5.84,6.33,6.11285734154668,0.8104
D1_upper_shadow_pct,SUCCESS,002642:20260708:670,002642,荣联科技,2026-07-27,2026-07-08,SUCCESS,1130,6.21777126865671641791044776,7.16,6.13,6.56,6.31,6.58,6.489883984164855,1.9034
D1_upper_shadow_pct,SUCCESS,002124:20260701:232,002124,,2026-07-03,2026-07-01,SUCCESS,1130,2.237000000000000000000000002,2.4,2.22,2.25,2.22,2.34,2.2775921885378656,2.1097
D1_upper_shadow_pct,SUCCESS,002208:20260610:1674,002208,合肥城建,2026-06-15,2026-06-10,SUCCESS,1130,16.02250000000000000000000000,17.58,15.81,16.02,15.88,16.4,16.072427710237807,2.3183
D1_upper_shadow_pct,SUCCESS,600058:20260622:1131,600058,,2026-06-24,2026-06-22,SUCCESS,1130,10.61750000000000000000000000,11.45,10.49,10.71,10.6,10.94,10.758683113051253,3.1418
