CHECKPOINT,stratum,group,feature,success_n,control_n,success_median,control_median,rank_biserial
0945,Q1,FAILED_BREAKOUT,price_to_s1_pct,7,18,-9.9251,-10.9618,-0.1746
0945,Q1,FAILED_BREAKOUT,s1_reject_count_so_far,7,18,0.0,0.0,0.0
0945,Q1,FAILED_BREAKOUT,support_reclaimed_so_far,7,18,0.0,0.0,0.1032
0945,Q1,FAILED_BREAKOUT,recovery_from_session_low_pct,7,18,1.6667,2.8831,0.2857
0945,Q1,FAILED_BREAKOUT,price_vs_vwap_pct,7,18,0.0808,-0.393,0.0
0945,Q1,FAILED_BREAKOUT,close_location_so_far,7,18,0.433,0.4635,0.0476
0945,Q1,FAILED_BREAKOUT,d0_new_low_since_anchor_so_far,7,18,0.0,0.0,0.1667
0945,Q1,FAILED_BREAKOUT,pullback_volume_dry_up_pre_D0,6,6,1.2454,1.5413,0.2222
0945,Q1,FAILED_BREAKOUT,cum_volume_vs_D1_ratio,7,18,0.3458,0.3895,0.127
0945,Q1,FAILED_BREAKOUT,cum_volume_vs_anchor_ratio,7,18,0.4321,0.4683,0.127
0945,Q1,FAILED_BREAKOUT,session_range_pct,7,18,3.8553,5.35,0.5238
0945,Q1,FAILED_BREAKOUT,session_low_pct_vs_prev_close,7,18,1.5544,-2.104,-0.8095
0945,Q1,FAILED_BREAKOUT,D1_upper_shadow_pct,7,18,0.8556,0.0,-0.3968
0945,Q1,NO_LAUNCH,price_to_s1_pct,7,5,-9.9251,-15.138,-0.8857
0945,Q1,NO_LAUNCH,s1_reject_count_so_far,7,5,0.0,0.0,0.0
0945,Q1,NO_LAUNCH,support_reclaimed_so_far,7,5,0.0,0.0,-0.2857
0945,Q1,NO_LAUNCH,recovery_from_session_low_pct,7,5,1.6667,1.4478,0.0286
0945,Q1,NO_LAUNCH,price_vs_vwap_pct,7,5,0.0808,0.394,0.1429
0945,Q1,NO_LAUNCH,close_location_so_far,7,5,0.433,0.617,0.0857
0945,Q1,NO_LAUNCH,d0_new_low_since_anchor_so_far,7,5,0.0,0.0,0.4
0945,Q1,NO_LAUNCH,cum_volume_vs_D1_ratio,7,5,0.3458,0.1876,-0.7143
0945,Q1,NO_LAUNCH,cum_volume_vs_anchor_ratio,7,5,0.4321,0.1789,-0.5429
0945,Q1,NO_LAUNCH,session_range_pct,7,5,3.8553,5.0968,0.2
0945,Q1,NO_LAUNCH,session_low_pct_vs_prev_close,7,5,1.5544,-1.4271,-0.8286
0945,Q1,NO_LAUNCH,D1_upper_shadow_pct,7,5,0.8556,1.0088,-0.0571
0945,Q1,STRUCTURE_FAIL,price_to_s1_pct,7,21,-9.9251,-11.8914,-0.2245
0945,Q1,STRUCTURE_FAIL,s1_reject_count_so_far,7,21,0.0,0.0,0.0
0945,Q1,STRUCTURE_FAIL,support_reclaimed_so_far,7,21,0.0,1.0,0.2381
0945,Q1,STRUCTURE_FAIL,recovery_from_session_low_pct,7,21,1.6667,4.1806,0.5646
0945,Q1,STRUCTURE_FAIL,price_vs_vwap_pct,7,21,0.0808,0.7898,0.2517
0945,Q1,STRUCTURE_FAIL,close_location_so_far,7,21,0.433,0.713,0.3197
0945,Q1,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,7,21,0.0,0.0,0.1905
0945,Q1,STRUCTURE_FAIL,pullback_volume_dry_up_pre_D0,6,7,1.2454,1.5672,0.3333
0945,Q1,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,7,21,0.3458,0.6738,0.3333
0945,Q1,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,7,21,0.4321,0.7206,0.4014
0945,Q1,STRUCTURE_FAIL,session_range_pct,7,21,3.8553,6.6266,0.5918
0945,Q1,STRUCTURE_FAIL,session_low_pct_vs_prev_close,7,21,1.5544,-1.8038,-0.7551
0945,Q1,STRUCTURE_FAIL,D1_upper_shadow_pct,7,21,0.8556,0.0,-0.449
0945,Q2,FAILED_BREAKOUT,price_to_s1_pct,13,20,-9.5961,-7.3284,0.2692
0945,Q2,FAILED_BREAKOUT,s1_reject_count_so_far,13,20,0.0,0.0,0.0
0945,Q2,FAILED_BREAKOUT,support_reclaimed_so_far,13,20,0.0,1.0,0.2923
0945,Q2,FAILED_BREAKOUT,recovery_from_session_low_pct,13,20,2.43,3.3142,0.3308
0945,Q2,FAILED_BREAKOUT,price_vs_vwap_pct,13,20,0.0959,0.4083,0.1692
0945,Q2,FAILED_BREAKOUT,close_location_so_far,13,20,0.361,0.582,0.1923
0945,Q2,FAILED_BREAKOUT,d0_new_low_since_anchor_so_far,13,20,1.0,0.0,-0.3885
0945,Q2,FAILED_BREAKOUT,pullback_volume_dry_up_pre_D0,9,5,1.1991,1.0069,0.3333
0945,Q2,FAILED_BREAKOUT,cum_volume_vs_D1_ratio,13,20,0.191,0.2624,0.3692
0945,Q2,FAILED_BREAKOUT,cum_volume_vs_anchor_ratio,13,20,0.2373,0.3553,0.3231
0945,Q2,FAILED_BREAKOUT,session_range_pct,13,20,4.2458,4.9938,0.3154
0945,Q2,FAILED_BREAKOUT,session_low_pct_vs_prev_close,13,20,-1.7204,-1.4034,0.0923
0945,Q2,FAILED_BREAKOUT,D1_upper_shadow_pct,13,20,2.0101,0.0,-0.5692
0945,Q2,STRUCTURE_FAIL,price_to_s1_pct,13,11,-9.5961,-9.5054,0.007
0945,Q2,STRUCTURE_FAIL,s1_reject_count_so_far,13,11,0.0,0.0,0.0
0945,Q2,STRUCTURE_FAIL,support_reclaimed_so_far,13,11,0.0,0.0,-0.035
0945,Q2,STRUCTURE_FAIL,recovery_from_session_low_pct,13,11,2.43,2.008,0.1329
0945,Q2,STRUCTURE_FAIL,price_vs_vwap_pct,13,11,0.0959,0.3412,0.2308
0945,Q2,STRUCTURE_FAIL,close_location_so_far,13,11,0.361,0.591,0.1748
0945,Q2,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,13,11,1.0,0.0,-0.1748
0945,Q2,STRUCTURE_FAIL,pullback_volume_dry_up_pre_D0,9,6,1.1991,1.0392,-0.1481
0945,Q2,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,13,11,0.191,0.2013,0.0629
0945,Q2,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,13,11,0.2373,0.2351,-0.021
0945,Q2,STRUCTURE_FAIL,session_range_pct,13,11,4.2458,4.3522,-0.035
0945,Q2,STRUCTURE_FAIL,session_low_pct_vs_prev_close,13,11,-1.7204,-2.6597,-0.1329
0945,Q2,STRUCTURE_FAIL,D1_upper_shadow_pct,13,11,2.0101,0.9818,-0.1329
0945,Q3,FAILED_BREAKOUT,price_to_s1_pct,9,30,-5.843,-6.6952,-0.3556
