episode_id,symbol,candidate_date,CHECKPOINT,volume_pace,abs_session_low,session_range,session_low_price,session_high_price
601369:20260528:961,601369,2026-05-29,0945,16.4764674499,0.0,4.7521,9.61,10.07
601369:20260528:961,601369,2026-05-29,1000,12.6668282478,0.0,4.7521,9.61,10.07
002963:20260608:1774,002963,2026-06-09,0945,1.7045952881,1.8038,5.7995,17.42,18.45
002963:20260608:1774,002963,2026-06-09,1000,2.3745382342,1.8038,5.7995,17.42,18.45
600539:20260608:1540,600539,2026-06-09,0945,2.4740447163,1.9481,6.6172,15.1,16.17
600539:20260608:1540,600539,2026-06-09,1000,1.662673838,1.9481,6.6172,15.1,16.17
000833:20260608:2368,000833,2026-06-09,0945,1.7491913252,1.9003,5.3594,23.23,24.52
000833:20260608:2368,000833,2026-06-09,1000,2.3164713851,1.9003,5.3594,23.23,24.52
600667:20260604:1636,600667,2026-06-09,0945,0.8003387412,0.2677,4.5161,14.98,15.68
600667:20260604:1636,600667,2026-06-09,1000,0.7805011109,1.2048,5.9355,14.76,15.68
003030:20260601:2574,003030,2026-06-09,0945,0.3103072232,0.381,3.197,20.92,21.6
003030:20260601:2574,003030,2026-06-09,1000,0.3817954211,0.381,4.1373,20.92,21.8
002931:20260608:6560,002931,2026-06-09,0945,0.9547032452,0.4421,4.0576,65.31,67.96
002931:20260608:6560,002931,2026-06-09,1000,0.9522850624,0.4421,4.2566,65.31,68.09
603070:20260605:1673,603070,2026-06-09,0945,0.3618195934,0.5445,2.2768,16.44,16.82
603070:20260605:1673,603070,2026-06-09,1000,0.389553558,0.6655,2.3966,16.42,16.82
003018:20260609:5468,003018,2026-06-10,0945,1.0223236209,5.6693,8.6933,51.58,56.45
003018:20260609:5468,003018,2026-06-10,1000,1.2017884258,7.2238,10.2106,50.73,56.45
001215:20260609:4232,001215,2026-06-10,0945,1.1530484144,1.2287,5.1294,41.8,44.06
001215:20260609:4232,001215,2026-06-10,1000,0.7243161169,1.2287,5.1294,41.8,44.06
600110:20260609:1181,600110,2026-06-10,0945,1.3564104272,2.3709,3.958,12.09,12.58
600110:20260609:1181,600110,2026-06-10,1000,1.0045745699,2.3709,3.958,12.09,12.58
002051:20260609:1223,002051,2026-06-10,0945,0.8236100266,3.5159,4.2484,11.8,12.32
002051:20260609:1223,002051,2026-06-10,1000,0.6468023733,3.5159,4.2484,11.8,12.32
603260:20260609:3933,603260,2026-06-10,0945,4.183654918,1.3476,4.746,38.8,40.65
603260:20260609:3933,603260,2026-06-10,1000,3.7270716358,1.3476,4.746,38.8,40.65
603020:20260609:1164,603020,2026-06-10,0945,1.9869529864,1.0309,5.3219,11.52,12.14
603020:20260609:1164,603020,2026-06-10,1000,1.7333126839,1.0309,5.3219,11.52,12.14
002129:20260609:981,002129,2026-06-10,0945,2.2467848544,0.0,4.7,9.81,10.28
002129:20260609:981,002129,2026-06-10,1000,1.8615569957,0.0,4.7,9.81,10.28
000037:20260609:1139,000037,2026-06-10,0945,2.2819238025,3.0729,4.0744,11.04,11.5
000037:20260609:1139,000037,2026-06-10,1000,1.767094297,3.0729,4.0744,11.04,11.5
600641:20260609:2703,600641,2026-06-10,0945,1.6447565333,1.2209,8.1784,26.7,28.9
600641:20260609:2703,600641,2026-06-10,1000,1.205220383,1.2209,8.1784,26.7,28.9
002490:20260608:823,002490,2026-06-10,0945,1.0131954907,1.8277,3.8168,7.8,8.1
002490:20260608:823,002490,2026-06-10,1000,1.1059304263,1.8277,3.8168,7.8,8.1
601869:20260609:48433,601869,2026-06-11,0945,0.4839927427,2.6597,4.3522,440.65,459.96
601869:20260609:48433,601869,2026-06-11,1000,0.4770895554,2.6597,4.3522,440.65,459.96
605111:20260609:6199,605111,2026-06-11,0945,0.8241819232,1.4606,3.8553,58.02,60.29
605111:20260609:6199,605111,2026-06-11,1000,0.8498035899,1.4606,4.2459,58.02,60.52
605018:20260609:1977,605018,2026-06-11,0945,0.5232010521,6.4643,6.9712,16.64,17.8
605018:20260609:1977,605018,2026-06-11,1000,0.5751560011,6.4643,6.9712,16.64,17.8
600714:20260605:3290,600714,2026-06-11,0945,0.6423976512,3.2616,3.5628,27.88,28.91
600714:20260605:3290,600714,2026-06-11,1000,0.5660560381,3.2616,3.5628,27.88,28.91
600732:20260610:1207,600732,2026-06-11,0945,9.0916426703,0.0,8.0365,12.07,13.04
600732:20260610:1207,600732,2026-06-11,1000,8.1355153411,0.0,8.0365,12.07,13.04
003030:20260610:2342,003030,2026-06-11,0945,2.5671941521,4.3553,4.3721,22.4,23.42
003030:20260610:2342,003030,2026-06-11,1000,2.1958408297,4.3553,4.5006,22.4,23.45
603661:20260610:3675,603661,2026-06-11,0945,0.6826831858,3.5102,5.3799,35.46,37.4
603661:20260610:3675,603661,2026-06-11,1000,0.9929366158,3.5102,5.3799,35.46,37.4
