episode_id,symbol,candidate_date,d1_date,missing_0945,missing_1000,exclusion_reason
000670:20260604:967,000670,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
002983:20260605:2484,002983,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
002631:20260605:745,002631,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
002585:20260604:1180,002585,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
001309:20260604:68085,001309,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
603020:20260605:1067,603020,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
002051:20260604:1202,002051,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
603938:20260605:5282,603938,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
601869:20260602:40874,601869,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
600516:20260605:583,600516,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
603950:20260604:7005,603950,2026-06-08,2026-06-05,True,True,V02_REFERENCE_INELIGIBLE_MISSING_D1_SAME_TIME
