setup_id,code,anchor_date,expected_market_followup_n,confirmed_code_followup_n,shortfall_n,last_confirmed_date,class
601369:20260626:905,601369,2026-06-26,23,5,18,2026-07-31,CODE_LEVEL_SHORTFALL
603722:20260626:3960,603722,2026-06-26,23,8,15,2026-07-31,CODE_LEVEL_SHORTFALL
002828:20260629:1059,002828,2026-06-29,23,7,16,2026-07-31,CODE_LEVEL_SHORTFALL
002036:20260630:757,002036,2026-06-30,23,8,15,2026-07-31,CODE_LEVEL_SHORTFALL
600405:20260630:452,600405,2026-06-30,23,8,15,2026-07-31,CODE_LEVEL_SHORTFALL
002392:20260702:878,002392,2026-07-02,21,8,13,2026-07-31,CODE_LEVEL_SHORTFALL
600490:20260702:644,600490,2026-07-02,21,8,13,2026-07-31,CODE_LEVEL_SHORTFALL
603580:20260702:2739,603580,2026-07-02,21,7,14,2026-07-31,CODE_LEVEL_SHORTFALL
603926:20260702:1926,603926,2026-07-02,21,8,13,2026-07-31,CODE_LEVEL_SHORTFALL
000975:20260703:1984,000975,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
001268:20260703:3940,001268,2026-07-03,20,7,13,2026-07-31,CODE_LEVEL_SHORTFALL
001270:20260703:16332,001270,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
001306:20260703:6329,001306,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
001337:20260703:4121,001337,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
001400:20260703:12521,001400,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
002072:20260703:964,002072,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
002090:20260703:959,002090,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
002249:20260703:833,002249,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
002270:20260703:2014,002270,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
002283:20260703:1024,002283,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
002294:20260703:4008,002294,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
002353:20260703:16146,002353,2026-07-03,20,8,12,2026-07-31,CODE_LEVEL_SHORTFALL
