trade_date,TOTAL_ROW_N,UNIQUE_CODE_N,CONFIRMED_N,CONFIRMED_SINGLE_SOURCE_N,OTHER_RECONCILIATION_N,TRADE_STATUS_TRUE_N,TRADE_STATUS_FALSE_N
2026-07-01,5490,5490,3160,0,2330,5490,0
2026-07-02,5503,5503,3172,0,2331,5503,0
2026-07-03,5487,5487,3156,0,2331,5487,0
2026-07-06,5497,5497,3166,0,2331,5497,0
2026-07-07,5498,5498,3166,0,2332,5498,0
2026-07-08,5483,5483,3151,0,2332,5483,0
2026-07-09,3143,3143,0,0,3143,3143,0
2026-07-10,3126,3126,0,0,3126,3126,0
2026-07-13,3167,3167,0,0,3167,3167,0
2026-07-14,3175,3175,0,0,3175,3175,0
2026-07-15,3161,3161,0,0,3161,3161,0
2026-07-16,3160,3160,0,0,3160,3160,0
2026-07-17,3145,3145,0,0,3145,3145,0
2026-07-20,3181,3181,0,0,3181,3181,0
2026-07-21,3178,3178,0,0,3178,3178,0
2026-07-22,3170,3170,0,0,3170,3170,0
2026-07-23,3177,3177,0,0,3177,3177,0
2026-07-24,3173,3173,0,0,3173,3173,0
2026-07-27,5520,5520,3186,0,2334,5520,0
2026-07-28,5508,5508,3173,0,2335,5508,0
2026-07-29,5518,5518,3182,0,2336,5518,0
2026-07-30,5515,5515,3176,0,2339,5515,0
2026-07-31,5511,5511,3171,0,2340,5511,0
