setup_id,code,anchor_date,anchor_price,anchor_source,profile,limit_price,is_first_board,recent_limit_count,recent_limits_non_consecutive,seal_before_cutoff,snapshot_id,strategy_commit,strategy_config_hash
000897:20240103:239,000897,2024-01-03,2.39,PRICE_ONLY,PRICE_ONLY,2.39,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
000953:20240103:613,000953,2024-01-03,6.13,PRICE_ONLY,PRICE_ONLY,6.13,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
000993:20240103:1145,000993,2024-01-03,11.45,PRICE_ONLY,PRICE_ONLY,11.45,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
001339:20240103:3584,001339,2024-01-03,35.84,PRICE_ONLY,PRICE_ONLY,35.84,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002771:20240103:3013,002771,2024-01-03,30.13,PRICE_ONLY,PRICE_ONLY,30.13,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002819:20240103:2769,002819,2024-01-03,27.69,PRICE_ONLY,PRICE_ONLY,27.69,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002888:20240103:2558,002888,2024-01-03,25.58,PRICE_ONLY,PRICE_ONLY,25.58,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002907:20240103:1701,002907,2024-01-03,17.01,PRICE_ONLY,PRICE_ONLY,17.01,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
003015:20240103:1351,003015,2024-01-03,13.51,PRICE_ONLY,PRICE_ONLY,13.51,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
003032:20240103:1526,003032,2024-01-03,15.26,PRICE_ONLY,PRICE_ONLY,15.26,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
600272:20240103:1285,600272,2024-01-03,12.85,PRICE_ONLY,PRICE_ONLY,12.85,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
600593:20240103:2265,600593,2024-01-03,22.65,PRICE_ONLY,PRICE_ONLY,22.65,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
