STAGE,EVENT_TIME,EVENT_N,EVENT_RATE,BY_K_N,BY_K_RATE
B1_READY,1,10270,0.467775,10270,0.467775
B1_READY,2,6197,0.282259,16467,0.750034
B1_READY,3,564,0.025689,17031,0.775723
B1_READY,4,173,0.00788,17204,0.783603
B1_READY,5,89,0.004054,17293,0.787657
B1_READY,6,44,0.002004,17337,0.789661
B1_READY,7,29,0.001321,17366,0.790982
B1_READY,8,7,0.000319,17373,0.7913
B1_READY,9,11,0.000501,17384,0.791801
B2_CONFIRMED,1,0,0.0,0,0.0
B2_CONFIRMED,2,0,0.0,0,0.0
B2_CONFIRMED,3,511,0.023275,511,0.023275
B2_CONFIRMED,4,705,0.032111,1216,0.055386
B2_CONFIRMED,5,530,0.02414,1746,0.079526
B2_CONFIRMED,6,391,0.017809,2137,0.097335
B2_CONFIRMED,7,273,0.012435,2410,0.10977
B2_CONFIRMED,8,203,0.009246,2613,0.119016
B2_CONFIRMED,9,145,0.006604,2758,0.125621
B2_READY,1,0,0.0,0,0.0
B2_READY,2,6587,0.300023,6587,0.300023
B2_READY,3,3856,0.175632,10443,0.475655
B2_READY,4,240,0.010931,10683,0.486586
B2_READY,5,71,0.003234,10754,0.48982
B2_READY,6,46,0.002095,10800,0.491915
B2_READY,7,11,0.000501,10811,0.492416
B2_READY,8,8,0.000364,10819,0.492781
B2_READY,9,0,0.0,10819,0.492781
