setup_id,code,anchor_date,FOLLOWUP_SESSIONS_AVAILABLE,FULL_WINDOW_MATURED
000897:20240103:239,000897,2024-01-03,586,True
000953:20240103:613,000953,2024-01-03,582,True
000993:20240103:1145,000993,2024-01-03,585,True
001339:20240103:3584,001339,2024-01-03,583,True
002771:20240103:3013,002771,2024-01-03,587,True
002819:20240103:2769,002819,2024-01-03,587,True
002888:20240103:2558,002888,2024-01-03,584,True
002907:20240103:1701,002907,2024-01-03,582,True
003015:20240103:1351,003015,2024-01-03,584,True
003032:20240103:1526,003032,2024-01-03,584,True
600272:20240103:1285,600272,2024-01-03,585,True
600593:20240103:2265,600593,2024-01-03,582,True
600716:20240103:407,600716,2024-01-03,587,True
600805:20240103:558,600805,2024-01-03,585,True
600825:20240103:495,600825,2024-01-03,587,True
600844:20240103:339,600844,2024-01-03,587,True
605011:20240103:2892,605011,2024-01-03,583,True
605488:20240103:1867,605488,2024-01-03,583,True
000691:20240104:582,000691,2024-01-04,582,True
000829:20240104:1031,000829,2024-01-04,585,True
002178:20240104:564,002178,2024-01-04,586,True
002432:20240104:4230,002432,2024-01-04,583,True
002529:20240104:1381,002529,2024-01-04,579,True
002758:20240104:1145,002758,2024-01-04,584,True
002780:20240104:1443,002780,2024-01-04,585,True
002786:20240104:1642,002786,2024-01-04,586,True
002981:20240104:3760,002981,2024-01-04,583,True
003025:20240104:1454,003025,2024-01-04,583,True
003029:20240104:2159,003029,2024-01-04,586,True
601096:20240104:561,601096,2024-01-04,583,True
601188:20240104:436,601188,2024-01-04,584,True
603004:20240104:4212,603004,2024-01-04,583,True
603029:20240104:2279,603029,2024-01-04,583,True
603048:20240104:2031,603048,2024-01-04,581,True
603052:20240104:5368,603052,2024-01-04,584,True
603097:20240104:2573,603097,2024-01-04,584,True
603162:20240104:1938,603162,2024-01-04,582,True
603273:20240104:2651,603273,2024-01-04,582,True
603280:20240104:2866,603280,2024-01-04,583,True
603356:20240104:1615,603356,2024-01-04,581,True
603390:20240104:1098,603390,2024-01-04,581,True
603908:20240104:3963,603908,2024-01-04,584,True
605080:20240104:2298,605080,2024-01-04,584,True
605378:20240104:2916,605378,2024-01-04,583,True
000590:20240105:1023,000590,2024-01-05,585,True
002172:20240105:431,002172,2024-01-05,580,True
002354:20240105:597,002354,2024-01-05,585,True
002403:20240105:971,002403,2024-01-05,584,True
002577:20240105:1867,002577,2024-01-05,585,True
603065:20240105:1527,603065,2024-01-05,581,True
603075:20240105:2649,603075,2024-01-05,582,True
603177:20240105:1373,603177,2024-01-05,584,True
603709:20240105:2081,603709,2024-01-05,584,True
605158:20240105:855,605158,2024-01-05,582,True
000715:20240108:837,000715,2024-01-08,581,True
002177:20240108:527,002177,2024-01-08,584,True
002197:20240108:1104,002197,2024-01-08,582,True
002337:20240108:608,002337,2024-01-08,581,True
002347:20240108:672,002347,2024-01-08,583,True
002395:20240108:2152,002395,2024-01-08,581,True
002584:20240108:1036,002584,2024-01-08,582,True
002703:20240108:1408,002703,2024-01-08,582,True
002786:20240108:1680,002786,2024-01-08,584,True
600066:20240108:1467,600066,2024-01-08,579,True
600234:20240108:845,600234,2024-01-08,582,True
600775:20240108:1187,600775,2024-01-08,584,True
600825:20240108:513,600825,2024-01-08,584,True
603168:20240108:1333,603168,2024-01-08,583,True
603396:20240108:5988,603396,2024-01-08,581,True
603628:20240108:2578,603628,2024-01-08,581,True
603977:20240108:1100,603977,2024-01-08,581,True
605287:20240108:1870,605287,2024-01-08,583,True
605303:20240108:1362,605303,2024-01-08,584,True
605378:20240108:2993,605378,2024-01-08,581,True
605488:20240108:1814,605488,2024-01-08,580,True
000017:20240109:492,000017,2024-01-09,583,True
000679:20240109:661,000679,2024-01-09,583,True
001368:20240109:2842,001368,2024-01-09,578,True
002058:20240109:1404,002058,2024-01-09,581,True
002523:20240109:309,002523,2024-01-09,582,True
002527:20240109:1008,002527,2024-01-09,578,True
002611:20240109:526,002611,2024-01-09,581,True
002641:20240109:537,002641,2024-01-09,580,True
002877:20240109:1110,002877,2024-01-09,581,True
002887:20240109:959,002887,2024-01-09,580,True
002903:20240109:2424,002903,2024-01-09,581,True
002931:20240109:1459,002931,2024-01-09,562,True
600319:20240109:604,600319,2024-01-09,573,True
600506:20240109:1565,600506,2024-01-09,582,True
600615:20240109:1295,600615,2024-01-09,582,True
600630:20240109:1393,600630,2024-01-09,582,True
600697:20240109:1554,600697,2024-01-09,580,True
601188:20240109:492,601188,2024-01-09,581,True
603015:20240109:1027,603015,2024-01-09,580,True
603032:20240109:2087,603032,2024-01-09,581,True
603095:20240109:1836,603095,2024-01-09,579,True
603199:20240109:2956,603199,2024-01-09,580,True
603211:20240109:2031,603211,2024-01-09,581,True
603268:20240109:1899,603268,2024-01-09,573,True
603389:20240109:740,603389,2024-01-09,550,True
603656:20240109:1660,603656,2024-01-09,580,True
603798:20240109:1082,603798,2024-01-09,578,True
605080:20240109:2573,605080,2024-01-09,581,True
605389:20240109:2750,605389,2024-01-09,570,True
605588:20240109:5155,605588,2024-01-09,582,True
000532:20240110:1360,000532,2024-01-10,579,True
000558:20240110:344,000558,2024-01-10,582,True
002162:20240110:487,002162,2024-01-10,582,True
002186:20240110:1322,002186,2024-01-10,582,True
002326:20240110:1150,002326,2024-01-10,582,True
002708:20240110:855,002708,2024-01-10,573,True
002762:20240110:1011,002762,2024-01-10,572,True
003042:20240110:2089,003042,2024-01-10,582,True
600480:20240110:994,600480,2024-01-10,577,True
600628:20240110:795,600628,2024-01-10,580,True
600716:20240110:416,600716,2024-01-10,582,True
601086:20240110:604,601086,2024-01-10,579,True
603085:20240110:1070,603085,2024-01-10,582,True
603219:20240110:1502,603219,2024-01-10,579,True
603231:20240110:2444,603231,2024-01-10,579,True
603536:20240110:1472,603536,2024-01-10,581,True
603719:20240110:1981,603719,2024-01-10,573,True
605117:20240110:8778,605117,2024-01-10,577,True
000032:20240111:1782,000032,2024-01-11,578,True
000158:20240111:909,000158,2024-01-11,580,True
000420:20240111:312,000420,2024-01-11,581,True
000628:20240111:4917,000628,2024-01-11,579,True
000676:20240111:787,000676,2024-01-11,581,True
002076:20240111:240,002076,2024-01-11,579,True
002085:20240111:509,002085,2024-01-11,577,True
002132:20240111:333,002132,2024-01-11,578,True
002174:20240111:1199,002174,2024-01-11,580,True
002192:20240111:5695,002192,2024-01-11,578,True
002250:20240111:739,002250,2024-01-11,579,True
002356:20240111:536,002356,2024-01-11,581,True
002523:20240111:325,002523,2024-01-11,580,True
002577:20240111:2009,002577,2024-01-11,581,True
002584:20240111:1049,002584,2024-01-11,579,True
002599:20240111:718,002599,2024-01-11,579,True
002659:20240111:485,002659,2024-01-11,581,True
002735:20240111:1437,002735,2024-01-11,580,True
002738:20240111:4070,002738,2024-01-11,578,True
002779:20240111:2990,002779,2024-01-11,578,True
002868:20240111:2259,002868,2024-01-11,575,True
