factor,missing_n,n_known_3d,n_3d,coverage_3d,succ_median_3d,succ_p25_3d,succ_p75_3d,nonsucc_median_3d,nonsucc_p25_3d,nonsucc_p75_3d,auc_3d,p_3d,spearman_3d,succ_n_3d,n_known_5d,n_5d,coverage_5d,succ_median_5d,succ_p25_5d,succ_p75_5d,nonsucc_median_5d,nonsucc_p25_5d,nonsucc_p75_5d,auc_5d,p_5d,spearman_5d,succ_n_5d,auc_3d_vs_FAILED_BREAKOUT,auc_3d_vs_NO_LAUNCH,auc_3d_vs_STRUCTURE_FAIL,q_3d,bins_n,rate_bottom,rate_top,bin_counts,or,ci_low,ci_high,haldane_corrected,effect_direction,direction_consistent_3d_5d,q_bh_3d,buckets,buckets_n,bucket_pos_n,bucket_auc_min,bucket_auc_max,stability,classification
t0_return,466,8471,8017,0.9464,0.1,0.09985487067145038,0.10015468603437087,0.1,0.0998552821997105,0.1002386634844868,0.46780424939525717,0.03385252543024775,-0.0237312412165727,380,8466,8014,0.9466,0.1,0.0998672845377239,0.1001855287569573,0.1,0.09985404989356395,0.1002386634844868,0.47992502300703654,0.15140261164246338,-0.0160479922964111,451,0.4701902061551184,0.4600275249793165,0.4699128147351883,,5,0.04590570719602978,0.03329145728643216,"[1612, 2563, 635, 1615, 1592]",0.715750838557856,0.49950780423514324,1.0256081257443361,False,NEGATIVE,True,0.09027340114732733,"[{'q': '2024Q3', 'n': 871, 'succ_n': 58, 'auc': 0.4261674513296857, 'direction': 'NEGATIVE'}, {'q': '2024Q4', 'n': 1189, 'succ_n': 50, 'auc': 0.4942844600526778, 'direction': 'NEGATIVE'}, {'q': '2025Q1', 'n': 1152, 'succ_n': 47, 'auc': 0.490767305285453, 'direction': 'NEGATIVE'}, {'q': '2025Q2', 'n': 1065, 'succ_n': 45, 'auc': 0.4362200435729848, 'direction': 'NEGATIVE'}, {'q': '2025Q3', 'n': 754, 'succ_n': 26, 'auc': 0.3798076923076923, 'direction': 'NEGATIVE'}, {'q': '2025Q4', 'n': 935, 'succ_n': 49, 'auc': 0.46957202745658083, 'direction': 'NEGATIVE'}, {'q': '2026Q1', 'n': 597, 'succ_n': 39, 'auc': 0.48899457770425514, 'direction': 'NEGATIVE'}, {'q': '2026Q2', 'n': 1147, 'succ_n': 59, 'auc': 0.5335867397806581, 'direction': 'POSITIVE'}]",8,1,0.3798076923076923,0.5335867397806581,MIXED,UNSTABLE
t0_gap,466,8471,8017,0.9464,0.00274893327795185,-0.002147129186602825,0.016986475805743327,0.0035398230088495,-0.001937984496124,0.0184672206832871,0.4859523924384747,0.35455438109348614,-0.010344911662232026,380,8466,8014,0.9466,0.002680965147453,-0.0024134684448585,0.014799270072992698,0.0035592946125222,-0.00193564280388605,0.018629091103240798,0.47993367171780693,0.15157891298991366,-0.01602644593011646,451,0.4944400141768563,0.4728719849805893,0.4887160458097325,,5,0.046134663341645885,0.043017456359102244,"[1604, 1603, 1603, 1603, 1604]",0.9293951932388415,0.6644577132084392,1.2999704993182895,False,NEGATIVE,True,0.5672870097495778,"[{'q': '2024Q3', 'n': 871, 'succ_n': 58, 'auc': 0.5080693048309793, 'direction': 'POSITIVE'}, {'q': '2024Q4', 'n': 1189, 'succ_n': 50, 'auc': 0.4653906935908692, 'direction': 'NEGATIVE'}, {'q': '2025Q1', 'n': 1152, 'succ_n': 47, 'auc': 0.5495812072783287, 'direction': 'POSITIVE'}, {'q': '2025Q2', 'n': 1065, 'succ_n': 45, 'auc': 0.4464814814814815, 'direction': 'NEGATIVE'}, {'q': '2025Q3', 'n': 754, 'succ_n': 26, 'auc': 0.45900253592561285, 'direction': 'NEGATIVE'}, {'q': '2025Q4', 'n': 935, 'succ_n': 49, 'auc': 0.5384092688994334, 'direction': 'POSITIVE'}, {'q': '2026Q1', 'n': 597, 'succ_n': 39, 'auc': 0.45165885488466134, 'direction': 'NEGATIVE'}, {'q': '2026Q2', 'n': 1147, 'succ_n': 59, 'auc': 0.4671999626121635, 'direction': 'NEGATIVE'}]",8,3,0.4464814814814815,0.5495812072783287,UNSTABLE,UNSTABLE
t0_range_pct,466,8471,8017,0.9464,0.1008318052418113,0.0903421235831666,0.1093408543870889,0.1015873015873015,0.0898058252427184,0.1107784431137724,0.4926920876894344,0.6300762272716756,-0.005379295581059582,380,8466,8014,0.9466,0.102127659574468,0.09093994939208785,0.11048329239905355,0.1015325670498084,0.0897435897435897,0.11074182447229425,0.5057021389874207,0.6836515655302844,0.0045521289192043185,451,0.4943587926044066,0.5160496086043403,0.484813381155166,,5,0.04361370716510903,0.04551122194513716,"[1605, 1602, 1605, 1601, 1604]",1.04558178594756,0.7476193013637099,1.4622967452968918,False,NEGATIVE,False,0.7958857607642218,"[{'q': '2024Q3', 'n': 871, 'succ_n': 58, 'auc': 0.4528035797599355, 'direction': 'NEGATIVE'}, {'q': '2024Q4', 'n': 1189, 'succ_n': 50, 'auc': 0.5236786654960491, 'direction': 'POSITIVE'}, {'q': '2025Q1', 'n': 1152, 'succ_n': 47, 'auc': 0.4685953595840955, 'direction': 'NEGATIVE'}, {'q': '2025Q2', 'n': 1065, 'succ_n': 45, 'auc': 0.5189106753812636, 'direction': 'POSITIVE'}, {'q': '2025Q3', 'n': 754, 'succ_n': 26, 'auc': 0.4712595097210482, 'direction': 'NEGATIVE'}, {'q': '2025Q4', 'n': 935, 'succ_n': 49, 'auc': 0.4096374441424425, 'direction': 'NEGATIVE'}, {'q': '2026Q1', 'n': 597, 'succ_n': 39, 'auc': 0.5337514934289128, 'direction': 'POSITIVE'}, {'q': '2026Q2', 'n': 1147, 'succ_n': 59, 'auc': 0.5353626620139581, 'direction': 'POSITIVE'}]",8,4,0.4096374441424425,0.5353626620139581,UNSTABLE,UNSTABLE
t0_close_location,0,8471,8471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5007680819938981,0.9582830562089077,0.00412310391795204,406,8466,8466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5011833518408346,0.93042738352518,0.006881837465491031,481,0.5001764886035079,0.5001557267438538,0.5010679934513456,,1,0.04792822571125015,0.04792822571125015,[8471],,,,,POSITIVE,True,0.9582830562089079,"[{'q': '2024Q3', 'n': 876, 'succ_n': 58, 'auc': 0.4956896551724138, 'direction': 'NEGATIVE'}, {'q': '2024Q4', 'n': 1194, 'succ_n': 50, 'auc': 0.5109265734265734, 'direction': 'POSITIVE'}, {'q': '2025Q1', 'n': 1152, 'succ_n': 47, 'auc': 0.5031674208144796, 'direction': 'POSITIVE'}, {'q': '2025Q2', 'n': 1075, 'succ_n': 46, 'auc': 0.5009718172983479, 'direction': 'POSITIVE'}, {'q': '2025Q3', 'n': 754, 'succ_n': 26, 'auc': 0.5006868131868132, 'direction': 'POSITIVE'}, {'q': '2025Q4', 'n': 937, 'succ_n': 50, 'auc': 0.5005636978579482, 'direction': 'POSITIVE'}, {'q': '2026Q1', 'n': 597, 'succ_n': 39, 'auc': 0.4889716018748277, 'direction': 'NEGATIVE'}, {'q': '2026Q2', 'n': 1553, 'succ_n': 80, 'auc': 0.5023761031907671, 'direction': 'POSITIVE'}, {'q': '2026Q3', 'n': 333, 'succ_n': 10, 'auc': 0.5, 'direction': 'POSITIVE'}]",9,7,0.4889716018748277,0.5109265734265734,MIXED,NO_SIGNAL
t0_position_20d,1450,8471,7059,0.8333,0.9711386138613861,0.6935410052016482,1.0,0.925925925925926,0.6428571428571428,1.0,0.524934414448735,0.1181959504139507,0.01948845317164102,344,8466,7056,0.8335,0.9351673101673101,0.6802005012531328,1.0,0.9274924206578694,0.6435977929984779,1.0,0.5104157561391163,0.48034936182389587,0.008805056268360792,406,0.5348675710594315,0.5277853583293782,0.5221752838153169,,3,0.040339702760084924,0.05100354191263282,"[1413, 1411, 4235]",1.2785584264218646,0.9488105395982199,1.7229062932485804,False,POSITIVE,True,0.21641295731793456,"[{'q': '2024Q3', 'n': 626, 'succ_n': 46, 'auc': 0.5338455772113943, 'direction': 'POSITIVE'}, {'q': '2024Q4', 'n': 1158, 'succ_n': 49, 'auc': 0.5049686240591819, 'direction': 'POSITIVE'}, {'q': '2025Q1', 'n': 1137, 'succ_n': 45, 'auc': 0.4882885632885633, 'direction': 'NEGATIVE'}, {'q': '2025Q2', 'n': 981, 'succ_n': 44, 'auc': 0.4778063452022897, 'direction': 'NEGATIVE'}, {'q': '2025Q3', 'n': 683, 'succ_n': 24, 'auc': 0.5508345978755691, 'direction': 'POSITIVE'}, {'q': '2025Q4', 'n': 904, 'succ_n': 46, 'auc': 0.5617335562987736, 'direction': 'POSITIVE'}, {'q': '2026Q1', 'n': 592, 'succ_n': 38, 'auc': 0.5353648109443283, 'direction': 'POSITIVE'}, {'q': '2026Q2', 'n': 950, 'succ_n': 51, 'auc': 0.5534689960522585, 'direction': 'POSITIVE'}]",8,6,0.4778063452022897,0.5617335562987736,MIXED,UNSTABLE
pre_t0_return_5d,993,8471,7504,0.8858,-0.0064672594987873,-0.0449943757030371,0.0422535211267605,-0.0026246719160104,-0.0483171608459014,0.0419580419580419,0.49668423688517827,0.8305277967619829,-0.0024708512838554904,365,8466,7501,0.886,-0.006936416184971,-0.04617446393762175,0.04052149985081055,-0.0024891342397684504,-0.0482230432473782,0.04209345429714165,0.4916960655296554,0.5620889902012516,-0.0066942803351683336,431,0.530491177564652,0.5261335072841922,0.48078067961700754,,5,0.047968021319120584,0.04863424383744171,"[1501, 1501, 1500, 1501, 1501]",1.014598895113601,0.726722058979229,1.416512551458359,False,NEGATIVE,True,0.9403711695244437,"[{'q': '2024Q3', 'n': 823, 'succ_n': 56, 'auc': 0.5545143415906127, 'direction': 'POSITIVE'}, {'q': '2024Q4', 'n': 1185, 'succ_n': 49, 'auc': 0.5052547427421673, 'direction': 'POSITIVE'}, {'q': '2025Q1', 'n': 1147, 'succ_n': 46, 'auc': 0.47634561465861075, 'direction': 'NEGATIVE'}, {'q': '2025Q2', 'n': 1030, 'succ_n': 45, 'auc': 0.41362662154540325, 'direction': 'NEGATIVE'}, {'q': '2025Q3', 'n': 733, 'succ_n': 26, 'auc': 0.48017081927973015, 'direction': 'NEGATIVE'}, {'q': '2025Q4', 'n': 928, 'succ_n': 49, 'auc': 0.5123981333147594, 'direction': 'POSITIVE'}, {'q': '2026Q1', 'n': 597, 'succ_n': 39, 'auc': 0.4829519345648378, 'direction': 'NEGATIVE'}, {'q': '2026Q2', 'n': 1007, 'succ_n': 53, 'auc': 0.534502195324552, 'direction': 'POSITIVE'}]",8,4,0.41362662154540325,0.5545143415906127,UNSTABLE,UNSTABLE
pre_t0_return_20d,1478,8471,7032,0.8301,0.00391340634287335,-0.07684073879748583,0.0841333369946773,0.015681843021531,-0.06758289580323473,0.11078123995112218,0.4756615497139221,0.12624089176879516,-0.018235846900580954,346,8466,7029,0.8303,0.0058823529411764,-0.0773881499395405,0.0910036401456058,0.0154829233768424,-0.06747159090909086,0.11074747572191132,0.48098962992783445,0.19828782068038775,-0.01534529860186085,405,0.49325385957072637,0.5046842436396524,0.4627996574221277,,5,0.053304904051172705,0.03980099502487562,"[1407, 1406, 1406, 1406, 1407]",0.7361658031088083,0.5165264564161458,1.0492010291728717,False,NEGATIVE,True,0.21641295731793456,"[{'q': '2024Q3', 'n': 598, 'succ_n': 46, 'auc': 0.5029536862003781, 'direction': 'POSITIVE'}, {'q': '2024Q4', 'n': 1159, 'succ_n': 49, 'auc': 0.5260250045964332, 'direction': 'POSITIVE'}, {'q': '2025Q1', 'n': 1135, 'succ_n': 45, 'auc': 0.5025484199796126, 'direction': 'POSITIVE'}, {'q': '2025Q2', 'n': 987, 'succ_n': 45, 'auc': 0.37004010379806557, 'direction': 'NEGATIVE'}, {'q': '2025Q3', 'n': 670, 'succ_n': 24, 'auc': 0.4678792569659443, 'direction': 'NEGATIVE'}, {'q': '2025Q4', 'n': 903, 'succ_n': 47, 'auc': 0.5158455955458342, 'direction': 'POSITIVE'}, {'q': '2026Q1', 'n': 592, 'succ_n': 38, 'auc': 0.47116663499905, 'direction': 'NEGATIVE'}, {'q': '2026Q2', 'n': 988, 'succ_n': 52, 'auc': 0.5062047994740303, 'direction': 'POSITIVE'}]",8,5,0.37004010379806557,0.5260250045964332,UNSTABLE,UNSTABLE
t0_volume_ratio_5d,955,8471,7540,0.8901,1.9467341348277312,1.3365365450103384,2.800250152069652,1.7966324098440647,1.193451881497131,2.6865653389246402,0.5407238647148704,0.008479232057817532,0.030317228420817046,366,8466,7537,0.8903,1.912733035950467,1.276778620147826,2.780695735944732,1.7970468616412263,1.1954022926738044,2.686924966742236,0.5287138035290745,0.0447349896399698,0.023121007285868047,432,0.5409771549860969,0.5004496309924958,0.5541514955572998,,5,0.03779840848806366,0.05636604774535809,"[1508, 1508, 1508, 1508, 1508]",1.5205705761240769,1.0785992207735342,2.1436459738178963,False,POSITIVE,True,0.025437696173452595,"[{'q': '2024Q3', 'n': 829, 'succ_n': 57, 'auc': 0.5166121261703481, 'direction': 'POSITIVE'}, {'q': '2024Q4', 'n': 1186, 'succ_n': 49, 'auc': 0.5108143521260747, 'direction': 'POSITIVE'}, {'q': '2025Q1', 'n': 1147, 'succ_n': 46, 'auc': 0.4526319946293883, 'direction': 'NEGATIVE'}, {'q': '2025Q2', 'n': 1035, 'succ_n': 45, 'auc': 0.5958024691358025, 'direction': 'POSITIVE'}, {'q': '2025Q3', 'n': 737, 'succ_n': 26, 'auc': 0.528075300227199, 'direction': 'POSITIVE'}, {'q': '2025Q4', 'n': 931, 'succ_n': 49, 'auc': 0.5618955065019205, 'direction': 'POSITIVE'}, {'q': '2026Q1', 'n': 597, 'succ_n': 39, 'auc': 0.5201268265784394, 'direction': 'POSITIVE'}, {'q': '2026Q2', 'n': 1012, 'succ_n': 53, 'auc': 0.5776850886339937, 'direction': 'POSITIVE'}]",8,7,0.4526319946293883,0.5958024691358025,MIXED,UNSTABLE
pullback_depth_close,652,8471,7838,0.9253,-0.018133459667248497,-0.04245994323313905,0.01157217123128465,-0.01755567925253715,-0.0455531286948202,0.012371900826446226,0.5019090461645362,0.9011890374609253,0.0014025072472450058,370,8466,7835,0.9255,-0.0180436847103513,-0.04476645721634915,0.008488065372515449,-0.0175150572450933,-0.0454222929388492,0.0125,0.492093399005311,0.5771691363494564,-0.006299012346352511,439,0.44111548475080586,0.5357916012427756,0.501545448622588,,5,0.0389030612244898,0.044642857142857144,"[1568, 1567, 1568, 1567, 1568]",1.1544354220928452,0.8129705616951429,1.639322758506531,False,POSITIVE,False,0.9403711695244437,"[{'q': '2024Q3', 'n': 868, 'succ_n': 58, 'auc': 0.6485951468710089, 'direction': 'POSITIVE'}, {'q': '2024Q4', 'n': 1182, 'succ_n': 50, 'auc': 0.53636925795053, 'direction': 'POSITIVE'}, {'q': '2025Q1', 'n': 1152, 'succ_n': 47, 'auc': 0.47460286897082893, 'direction': 'NEGATIVE'}, {'q': '2025Q2', 'n': 1057, 'succ_n': 44, 'auc': 0.542302342277663, 'direction': 'POSITIVE'}, {'q': '2025Q3', 'n': 751, 'succ_n': 26, 'auc': 0.5181962864721485, 'direction': 'POSITIVE'}, {'q': '2025Q4', 'n': 933, 'succ_n': 49, 'auc': 0.4350009234463016, 'direction': 'NEGATIVE'}, {'q': '2026Q1', 'n': 596, 'succ_n': 39, 'auc': 0.4577176264788473, 'direction': 'NEGATIVE'}, {'q': '2026Q2', 'n': 1001, 'succ_n': 50, 'auc': 0.3863827549947424, 'direction': 'NEGATIVE'}]",8,4,0.3863827549947424,0.6485951468710089,UNSTABLE,UNSTABLE
max_drawdown_from_post_t0_high,652,8471,7838,0.9253,-0.0601614978810561,-0.08883063234826813,-0.02808659596888725,-0.05587732242269765,-0.10143729127718387,-0.0239234449760765,0.5099078591178217,0.5193280138888545,0.00727895209128658,370,8466,7835,0.9255,-0.0603307286934399,-0.08925769776860115,-0.028495295502373848,-0.05575616385167925,-0.10138276699240745,-0.02388942631681915,0.5030857657466759,0.827749301868151,0.002458362632660693,439,0.458326617902306,0.510367320348779,0.5187940451500114,,5,0.02806122448979592,0.04145408163265306,"[1568, 1567, 1568, 1567, 1568]",1.4979132643803301,1.014970211207585,2.21065024651018,False,POSITIVE,True,0.692437351851806,"[{'q': '2024Q3', 'n': 868, 'succ_n': 58, 'auc': 0.5975095785440613, 'direction': 'POSITIVE'}, {'q': '2024Q4', 'n': 1182, 'succ_n': 50, 'auc': 0.5403710247349823, 'direction': 'POSITIVE'}, {'q': '2025Q1', 'n': 1152, 'succ_n': 47, 'auc': 0.483652642726485, 'direction': 'NEGATIVE'}, {'q': '2025Q2', 'n': 1057, 'succ_n': 44, 'auc': 0.5125639414879296, 'direction': 'POSITIVE'}, {'q': '2025Q3', 'n': 751, 'succ_n': 26, 'auc': 0.5168169761273209, 'direction': 'POSITIVE'}, {'q': '2025Q4', 'n': 933, 'succ_n': 49, 'auc': 0.48505171299288946, 'direction': 'NEGATIVE'}, {'q': '2026Q1', 'n': 596, 'succ_n': 39, 'auc': 0.5265617087879206, 'direction': 'POSITIVE'}, {'q': '2026Q2', 'n': 1001, 'succ_n': 50, 'auc': 0.41974763406940063, 'direction': 'NEGATIVE'}]",8,5,0.41974763406940063,0.5975095785440613,UNSTABLE,UNSTABLE
