role,factor,target,n_known,n,success_n,auc,direction,effect,global_signal
PRIMARY,pullback_volume_ratio,outcome_3d,8471,7837,370,0.42109063663904966,NEGATIVE,0.07890936336095034,YES
PRIMARY,min_volume_ratio,outcome_3d,8471,7837,370,0.4122079492107616,NEGATIVE,0.08779205078923841,YES
PRIMARY,median_range_ratio,outcome_3d,8471,7838,370,0.4156382547518059,NEGATIVE,0.08436174524819412,YES
PRIMARY,quiet_days_n,outcome_3d,8471,7838,370,0.5847042878443521,POSITIVE,0.08470428784435213,YES
PRIMARY,high_vs_pullback_high,outcome_3d,8471,4263,222,0.5557400384794594,POSITIVE,0.05574003847945941,YES
PRIMARY,close_vs_pullback_high,outcome_3d,8471,4263,222,0.5897790886655029,POSITIVE,0.08977908866550288,YES
CONTROL,t0_return,outcome_3d,8471,8017,380,0.46780424939525717,NEGATIVE,0.032195750604742834,YES
CONTROL,t0_gap,outcome_3d,8471,8017,380,0.4859523924384747,NEGATIVE,0.014047607561525288,YES
CONTROL,t0_close_location,outcome_3d,8471,8471,406,0.5007680819938981,POSITIVE,0.0007680819938981065,NO
CONTROL,t0_position_20d,outcome_3d,8471,7059,344,0.524934414448735,POSITIVE,0.02493441444873501,YES
CONTROL,t0_gain_retention,outcome_3d,8471,7838,370,0.5019233413917399,POSITIVE,0.0019233413917398856,NO
CONTROL,low_vs_t0_mid,outcome_3d,8471,7838,370,0.5119871813431,POSITIVE,0.01198718134309995,YES
CONTROL,max_drawdown_from_post_t0_high,outcome_3d,8471,7838,370,0.5099078591178217,POSITIVE,0.00990785911782166,NO
CONTROL,days_since_t0,outcome_3d,8471,8471,406,0.523376873249674,POSITIVE,0.02337687324967397,YES
CONTROL,days_to_pullback_low,outcome_3d,8471,7838,370,0.528825692323282,POSITIVE,0.028825692323282026,YES
CONTROL,pullback_duration,outcome_3d,8471,7926,374,0.5108168038498142,POSITIVE,0.010816803849814205,YES
