dimension,stratum,n,success_n,nonsuccess_n,auc,direction,effect,reportable,note,verdict,consistency,material_reversal_n,opposite_n,factor,role
year,2024,2050,108,1942,0.4535415951481863,NEGATIVE,0.046458404851813684,True,,STABLE,1.0,0,0,pullback_volume_ratio,PRIMARY
year,2025,3892,166,3726,0.4333355968156038,NEGATIVE,0.0666644031843962,True,,STABLE,1.0,0,0,pullback_volume_ratio,PRIMARY
year,2026,1895,96,1799,0.36296785251065405,NEGATIVE,0.13703214748934595,True,,STABLE,1.0,0,0,pullback_volume_ratio,PRIMARY
quarter,2024Q3,868,58,810,0.39329501915708814,NEGATIVE,0.10670498084291186,True,,STABLE,0.875,0,1,pullback_volume_ratio,PRIMARY
quarter,2024Q4,1182,50,1132,0.5020141342756184,POSITIVE,0.0020141342756183622,True,,STABLE,0.875,0,1,pullback_volume_ratio,PRIMARY
quarter,2025Q1,1152,47,1105,0.4285934341003177,NEGATIVE,0.0714065658996823,True,,STABLE,0.875,0,1,pullback_volume_ratio,PRIMARY
quarter,2025Q2,1057,44,1013,0.44281163062012024,NEGATIVE,0.057188369379879755,True,,STABLE,0.875,0,1,pullback_volume_ratio,PRIMARY
quarter,2025Q3,750,26,724,0.430407989800255,NEGATIVE,0.06959201019974498,True,,STABLE,0.875,0,1,pullback_volume_ratio,PRIMARY
quarter,2025Q4,933,49,884,0.4288946347769877,NEGATIVE,0.0711053652230123,True,,STABLE,0.875,0,1,pullback_volume_ratio,PRIMARY
quarter,2026Q1,596,39,557,0.40063527137135757,NEGATIVE,0.09936472862864243,True,,STABLE,0.875,0,1,pullback_volume_ratio,PRIMARY
quarter,2026Q2,1001,50,951,0.3594321766561514,NEGATIVE,0.1405678233438486,True,,STABLE,0.875,0,1,pullback_volume_ratio,PRIMARY
quarter,2026Q3,298,7,291,,UNKNOWN,,False,GATE success_n<10,STABLE,0.875,0,1,pullback_volume_ratio,PRIMARY
regime,RISK_ON,4167,240,3927,0.4438598166539343,NEGATIVE,0.056140183346065686,True,,STABLE,1.0,0,0,pullback_volume_ratio,PRIMARY
regime,RISK_OFF,3670,130,3540,0.37708170360712734,NEGATIVE,0.12291829639287266,True,,STABLE,1.0,0,0,pullback_volume_ratio,PRIMARY
regime,NEUTRAL,0,0,0,,UNKNOWN,,False,NO_ROWS,STABLE,1.0,0,0,pullback_volume_ratio,PRIMARY
board,SH_MAIN,3819,194,3625,0.45378172769285463,NEGATIVE,0.04621827230714537,True,,DATA_LIMITED,,0,0,pullback_volume_ratio,PRIMARY
board,SZ_MAIN,4018,176,3842,0.3879060976763996,NEGATIVE,0.11209390232360039,True,,DATA_LIMITED,,0,0,pullback_volume_ratio,PRIMARY
board,SZ_CHINEXT,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,pullback_volume_ratio,PRIMARY
board,SH_STAR,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,pullback_volume_ratio,PRIMARY
board,BSE,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,pullback_volume_ratio,PRIMARY
t0_position,LOW,263,9,254,,UNKNOWN,,False,GATE success_n<10,DATA_LIMITED,,0,0,pullback_volume_ratio,PRIMARY
t0_position,MID,1609,68,1541,0.43762644577623394,NEGATIVE,0.06237355422376606,True,,DATA_LIMITED,,0,0,pullback_volume_ratio,PRIMARY
t0_position,HIGH,5125,263,4862,0.43797557843632545,NEGATIVE,0.06202442156367455,True,,DATA_LIMITED,,0,0,pullback_volume_ratio,PRIMARY
t0_gap_up,GAP_UP,4766,228,4538,0.4326196717001848,NEGATIVE,0.06738032829981522,True,,STABLE,1.0,0,0,pullback_volume_ratio,PRIMARY
t0_gap_up,NO_GAP_UP,3071,142,2929,0.39757836881308334,NEGATIVE,0.10242163118691666,True,,STABLE,1.0,0,0,pullback_volume_ratio,PRIMARY
year,2024,2050,108,1942,0.45008010069802035,NEGATIVE,0.04991989930197965,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
year,2025,3892,166,3726,0.41945560017849176,NEGATIVE,0.08054439982150824,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
year,2026,1895,96,1799,0.3581619418195294,NEGATIVE,0.14183805818047063,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
quarter,2024Q3,868,58,810,0.398105576841209,NEGATIVE,0.10189442315879099,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
quarter,2024Q4,1182,50,1132,0.47491166077738517,NEGATIVE,0.02508833922261483,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
quarter,2025Q1,1152,47,1105,0.41399826706459997,NEGATIVE,0.08600173293540003,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
quarter,2025Q2,1057,44,1013,0.43195279547698107,NEGATIVE,0.06804720452301893,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
quarter,2025Q3,750,26,724,0.4210582235444114,NEGATIVE,0.07894177645558859,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
quarter,2025Q4,933,49,884,0.4056007018191892,NEGATIVE,0.09439929818081078,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
quarter,2026Q1,596,39,557,0.4022925010357685,NEGATIVE,0.09770749896423148,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
quarter,2026Q2,1001,50,951,0.35095688748685594,NEGATIVE,0.14904311251314406,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
quarter,2026Q3,298,7,291,,UNKNOWN,,False,GATE success_n<10,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
regime,RISK_ON,4167,240,3927,0.43013008233596467,NEGATIVE,0.06986991766403533,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
regime,RISK_OFF,3670,130,3540,0.37997827031725334,NEGATIVE,0.12002172968274666,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
