factor,role,dimension,family,verdict,consistency,material_reversal_n,reportable_n
pullback_volume_ratio,PRIMARY,year,TIME,STABLE,1.0,0,3
pullback_volume_ratio,PRIMARY,quarter,TIME,STABLE,0.875,0,8
pullback_volume_ratio,PRIMARY,regime,REGIME,STABLE,1.0,0,2
pullback_volume_ratio,PRIMARY,board,BOARD,DATA_LIMITED,,0,2
pullback_volume_ratio,PRIMARY,t0_position,T0TYPE,DATA_LIMITED,,0,2
pullback_volume_ratio,PRIMARY,t0_gap_up,T0TYPE,STABLE,1.0,0,2
pullback_volume_ratio,PRIMARY,OVERALL,,DATA_LIMITED,,0,0
min_volume_ratio,PRIMARY,year,TIME,STABLE,1.0,0,3
min_volume_ratio,PRIMARY,quarter,TIME,STABLE,1.0,0,8
min_volume_ratio,PRIMARY,regime,REGIME,STABLE,1.0,0,2
min_volume_ratio,PRIMARY,board,BOARD,DATA_LIMITED,,0,2
min_volume_ratio,PRIMARY,t0_position,T0TYPE,DATA_LIMITED,,0,2
min_volume_ratio,PRIMARY,t0_gap_up,T0TYPE,STABLE,1.0,0,2
min_volume_ratio,PRIMARY,OVERALL,,DATA_LIMITED,,0,0
median_range_ratio,PRIMARY,year,TIME,STABLE,1.0,0,3
median_range_ratio,PRIMARY,quarter,TIME,STABLE,1.0,0,8
median_range_ratio,PRIMARY,regime,REGIME,STABLE,1.0,0,2
median_range_ratio,PRIMARY,board,BOARD,DATA_LIMITED,,0,2
median_range_ratio,PRIMARY,t0_position,T0TYPE,DATA_LIMITED,,0,2
median_range_ratio,PRIMARY,t0_gap_up,T0TYPE,STABLE,1.0,0,2
median_range_ratio,PRIMARY,OVERALL,,DATA_LIMITED,,0,0
quiet_days_n,PRIMARY,year,TIME,STABLE,1.0,0,3
quiet_days_n,PRIMARY,quarter,TIME,STABLE,1.0,0,8
quiet_days_n,PRIMARY,regime,REGIME,STABLE,1.0,0,2
quiet_days_n,PRIMARY,board,BOARD,DATA_LIMITED,,0,2
quiet_days_n,PRIMARY,t0_position,T0TYPE,DATA_LIMITED,,0,2
quiet_days_n,PRIMARY,t0_gap_up,T0TYPE,STABLE,1.0,0,2
quiet_days_n,PRIMARY,OVERALL,,DATA_LIMITED,,0,0
high_vs_pullback_high,PRIMARY,year,TIME,STABLE,1.0,0,3
high_vs_pullback_high,PRIMARY,quarter,TIME,UNSTABLE,0.75,1,8
high_vs_pullback_high,PRIMARY,regime,REGIME,STABLE,1.0,0,2
high_vs_pullback_high,PRIMARY,board,BOARD,DATA_LIMITED,,0,2
high_vs_pullback_high,PRIMARY,t0_position,T0TYPE,DATA_LIMITED,,0,2
high_vs_pullback_high,PRIMARY,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
high_vs_pullback_high,PRIMARY,OVERALL,,UNSTABLE,,0,0
close_vs_pullback_high,PRIMARY,year,TIME,STABLE,1.0,0,3
close_vs_pullback_high,PRIMARY,quarter,TIME,MIXED,0.875,1,8
close_vs_pullback_high,PRIMARY,regime,REGIME,STABLE,1.0,0,2
close_vs_pullback_high,PRIMARY,board,BOARD,DATA_LIMITED,,0,2
close_vs_pullback_high,PRIMARY,t0_position,T0TYPE,DATA_LIMITED,,0,2
close_vs_pullback_high,PRIMARY,t0_gap_up,T0TYPE,STABLE,1.0,0,2
close_vs_pullback_high,PRIMARY,OVERALL,,TIME_DEPENDENT,,0,0
t0_return,CONTROL,year,TIME,MIXED,0.6666666666666666,0,3
t0_return,CONTROL,quarter,TIME,MIXED,0.875,1,8
t0_return,CONTROL,regime,REGIME,STABLE,1.0,0,2
t0_return,CONTROL,board,BOARD,DATA_LIMITED,,0,2
t0_return,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
t0_return,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
t0_return,CONTROL,OVERALL,,TIME_DEPENDENT,,0,0
t0_gap,CONTROL,year,TIME,MIXED,0.6666666666666666,0,3
t0_gap,CONTROL,quarter,TIME,UNSTABLE,0.625,2,8
t0_gap,CONTROL,regime,REGIME,DATA_LIMITED,,0,2
t0_gap,CONTROL,board,BOARD,DATA_LIMITED,,0,2
t0_gap,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
t0_gap,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
t0_gap,CONTROL,OVERALL,,UNSTABLE,,0,0
t0_close_location,CONTROL,year,TIME,MIXED,0.6666666666666666,0,3
t0_close_location,CONTROL,quarter,TIME,MIXED,0.7777777777777778,0,9
t0_close_location,CONTROL,regime,REGIME,DATA_LIMITED,,0,2
t0_close_location,CONTROL,board,BOARD,DATA_LIMITED,,0,2
t0_close_location,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
t0_close_location,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
t0_close_location,CONTROL,OVERALL,,NO_GLOBAL_SIGNAL,,0,0
t0_position_20d,CONTROL,year,TIME,STABLE,1.0,0,3
t0_position_20d,CONTROL,quarter,TIME,MIXED,0.75,0,8
t0_position_20d,CONTROL,regime,REGIME,DATA_LIMITED,,0,2
t0_position_20d,CONTROL,board,BOARD,DATA_LIMITED,,0,2
t0_position_20d,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
t0_position_20d,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
t0_position_20d,CONTROL,OVERALL,,TIME_DEPENDENT,,0,0
t0_gain_retention,CONTROL,year,TIME,UNSTABLE,0.3333333333333333,1,3
t0_gain_retention,CONTROL,quarter,TIME,UNSTABLE,0.5,3,8
t0_gain_retention,CONTROL,regime,REGIME,DATA_LIMITED,,0,2
t0_gain_retention,CONTROL,board,BOARD,DATA_LIMITED,,0,2
t0_gain_retention,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
t0_gain_retention,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
t0_gain_retention,CONTROL,OVERALL,,NO_GLOBAL_SIGNAL,,0,0
low_vs_t0_mid,CONTROL,year,TIME,UNSTABLE,0.3333333333333333,1,3
low_vs_t0_mid,CONTROL,quarter,TIME,UNSTABLE,0.5,3,8
low_vs_t0_mid,CONTROL,regime,REGIME,UNSTABLE,0.5,1,2
low_vs_t0_mid,CONTROL,board,BOARD,DATA_LIMITED,,0,2
low_vs_t0_mid,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
low_vs_t0_mid,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
low_vs_t0_mid,CONTROL,OVERALL,,UNSTABLE,,0,0
max_drawdown_from_post_t0_high,CONTROL,year,TIME,UNSTABLE,0.3333333333333333,1,3
max_drawdown_from_post_t0_high,CONTROL,quarter,TIME,UNSTABLE,0.625,1,8
max_drawdown_from_post_t0_high,CONTROL,regime,REGIME,DATA_LIMITED,,0,2
max_drawdown_from_post_t0_high,CONTROL,board,BOARD,DATA_LIMITED,,0,2
max_drawdown_from_post_t0_high,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
max_drawdown_from_post_t0_high,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
max_drawdown_from_post_t0_high,CONTROL,OVERALL,,NO_GLOBAL_SIGNAL,,0,0
days_since_t0,CONTROL,year,TIME,MIXED,0.6666666666666666,0,3
days_since_t0,CONTROL,quarter,TIME,MIXED,0.7777777777777778,0,9
days_since_t0,CONTROL,regime,REGIME,DATA_LIMITED,,0,2
days_since_t0,CONTROL,board,BOARD,DATA_LIMITED,,0,2
days_since_t0,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
days_since_t0,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
days_since_t0,CONTROL,OVERALL,,TIME_DEPENDENT,,0,0
days_to_pullback_low,CONTROL,year,TIME,MIXED,0.6666666666666666,1,3
days_to_pullback_low,CONTROL,quarter,TIME,MIXED,0.875,1,8
days_to_pullback_low,CONTROL,regime,REGIME,DATA_LIMITED,,0,2
days_to_pullback_low,CONTROL,board,BOARD,DATA_LIMITED,,0,2
days_to_pullback_low,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
days_to_pullback_low,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
days_to_pullback_low,CONTROL,OVERALL,,TIME_DEPENDENT,,0,0
pullback_duration,CONTROL,year,TIME,MIXED,0.6666666666666666,0,3
pullback_duration,CONTROL,quarter,TIME,MIXED,0.75,0,8
pullback_duration,CONTROL,regime,REGIME,DATA_LIMITED,,0,2
pullback_duration,CONTROL,board,BOARD,DATA_LIMITED,,0,2
pullback_duration,CONTROL,t0_position,T0TYPE,DATA_LIMITED,,0,2
pullback_duration,CONTROL,t0_gap_up,T0TYPE,DATA_LIMITED,,0,2
pullback_duration,CONTROL,OVERALL,,TIME_DEPENDENT,,0,0
