factor,stratum,n,success_n,auc,direction,effect,reportable,note,verdict
pullback_volume_ratio,SH_MAIN,3819,194,0.45378172769285463,NEGATIVE,0.04621827230714537,True,,DATA_LIMITED
pullback_volume_ratio,SZ_MAIN,4018,176,0.3879060976763996,NEGATIVE,0.11209390232360039,True,,DATA_LIMITED
min_volume_ratio,SH_MAIN,3819,194,0.45094916459296125,NEGATIVE,0.04905083540703875,True,,DATA_LIMITED
min_volume_ratio,SZ_MAIN,4018,176,0.373287468647958,NEGATIVE,0.12671253135204202,True,,DATA_LIMITED
median_range_ratio,SH_MAIN,3820,194,0.4362422595117735,NEGATIVE,0.06375774048822652,True,,DATA_LIMITED
median_range_ratio,SZ_MAIN,4018,176,0.391958201220955,NEGATIVE,0.10804179877904502,True,,DATA_LIMITED
quiet_days_n,SH_MAIN,3820,194,0.5563513229198059,POSITIVE,0.056351322919805935,True,,DATA_LIMITED
quiet_days_n,SZ_MAIN,4018,176,0.6146471712176423,POSITIVE,0.11464717121764234,True,,DATA_LIMITED
high_vs_pullback_high,SH_MAIN,2081,109,0.5682537171781082,POSITIVE,0.06825371717810824,True,,DATA_LIMITED
high_vs_pullback_high,SZ_MAIN,2182,113,0.5435955123461806,POSITIVE,0.04359551234618064,True,,DATA_LIMITED
close_vs_pullback_high,SH_MAIN,2081,109,0.5854532258964958,POSITIVE,0.08545322589649584,True,,DATA_LIMITED
close_vs_pullback_high,SZ_MAIN,2182,113,0.5940281526281347,POSITIVE,0.09402815262813469,True,,DATA_LIMITED
