baseline_id,baseline_role,factor_name,factor_family,factor_role,sample_scope,baseline_group,target,eligible_group_n,factor_nonmissing_n,outcome_known_n,success_n,non_success_n,native_auc,native_direction,r3_direction,direction_match,effect,identifiability_status,missing_reason
B4,SECONDARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_3d,4182,131,128,5,123,0.6495934959349593,POSITIVE,POSITIVE,True,0.1495934959349593,IDENTIFIABLE,
B4,SECONDARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_5d,4182,131,128,8,120,0.5713541666666667,POSITIVE,POSITIVE,True,0.07135416666666672,IDENTIFIABLE,
B4,SECONDARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_3d,4439,4217,4113,216,3897,0.58731847384978,POSITIVE,POSITIVE,True,0.08731847384977998,IDENTIFIABLE,
B4,SECONDARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_5d,4439,4217,4112,255,3857,0.5824200460583507,POSITIVE,POSITIVE,True,0.08242004605835074,IDENTIFIABLE,
B4,SECONDARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_3d,4207,133,129,5,124,0.6524193548387097,POSITIVE,POSITIVE,True,0.15241935483870972,IDENTIFIABLE,
B4,SECONDARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_5d,4207,133,129,8,121,0.5738636363636364,POSITIVE,POSITIVE,True,0.07386363636363635,IDENTIFIABLE,
B4,SECONDARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_3d,4475,4238,4134,217,3917,0.5883193782507774,POSITIVE,POSITIVE,True,0.0883193782507774,IDENTIFIABLE,
B4,SECONDARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_5d,4475,4238,4133,256,3877,0.583370276631416,POSITIVE,POSITIVE,True,0.08337027663141605,IDENTIFIABLE,
B4,SECONDARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_3d,4182,131,128,5,123,0.6357723577235772,POSITIVE,POSITIVE,True,0.1357723577235772,IDENTIFIABLE,
B4,SECONDARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_5d,4182,131,128,8,120,0.5645833333333333,POSITIVE,POSITIVE,True,0.06458333333333333,IDENTIFIABLE,
B4,SECONDARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_3d,4439,4217,4113,216,3897,0.5513922152843118,POSITIVE,POSITIVE,True,0.051392215284311815,IDENTIFIABLE,
B4,SECONDARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_5d,4439,4217,4112,255,3857,0.5507953453613751,POSITIVE,POSITIVE,True,0.05079534536137509,IDENTIFIABLE,
B4,SECONDARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_3d,4207,133,129,5,124,0.6387096774193548,POSITIVE,POSITIVE,True,0.1387096774193548,IDENTIFIABLE,
B4,SECONDARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_5d,4207,133,129,8,121,0.5671487603305785,POSITIVE,POSITIVE,True,0.06714876033057848,IDENTIFIABLE,
B4,SECONDARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_3d,4475,4238,4134,217,3917,0.5530983342137369,POSITIVE,POSITIVE,True,0.053098334213736886,IDENTIFIABLE,
B4,SECONDARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_5d,4475,4238,4133,256,3877,0.5523142289463503,POSITIVE,POSITIVE,True,0.052314228946350294,IDENTIFIABLE,
B4,SECONDARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,4182,3829,3741,156,3585,0.4079247577155527,NEGATIVE,NEGATIVE,True,0.0920752422844473,IDENTIFIABLE,
B4,SECONDARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,4182,3829,3739,186,3553,0.3875567822436893,NEGATIVE,NEGATIVE,True,0.11244321775631072,IDENTIFIABLE,
B4,SECONDARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,4439,4201,4097,214,3883,0.4187339493262026,NEGATIVE,NEGATIVE,True,0.08126605067379739,IDENTIFIABLE,
B4,SECONDARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,4439,4201,4096,253,3843,0.4154270533457989,NEGATIVE,NEGATIVE,True,0.08457294665420112,IDENTIFIABLE,
B4,SECONDARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,4207,3829,3741,156,3585,0.4079247577155527,NEGATIVE,NEGATIVE,True,0.0920752422844473,IDENTIFIABLE,
B4,SECONDARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,4207,3829,3739,186,3553,0.3875567822436893,NEGATIVE,NEGATIVE,True,0.11244321775631072,IDENTIFIABLE,
B4,SECONDARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,4475,4201,4097,214,3883,0.4187339493262026,NEGATIVE,NEGATIVE,True,0.08126605067379739,IDENTIFIABLE,
