target,sample_family,model_id,comparison_parent,N,SUCCESS_N,NON_SUCCESS_N,AUC,LogLoss,Brier,AIC,BIC,converged,delta_auc,delta_logloss,delta_brier,delta_aic,delta_bic
outcome_3d,CORE_LADDER,M0,,7837,370,7467,0.5749724010873066,0.18816392968206094,0.04476814246435552,2959.2814338366234,2994.1144907718876,True,,,,,
outcome_3d,CORE_LADDER,M1,M0,7837,370,7467,0.5984555467480337,0.1877705827861501,0.04471202246546765,2955.116114590117,2996.915782912434,True,0.023483145660727067,-0.0003933468959108344,-5.61199988878755e-05,-4.165319246506442,2.801292140546593
outcome_3d,CORE_LADDER,M2,M1,7837,370,7467,0.60221479012158,0.1876158027654697,0.04470404691341437,2954.690092545972,3003.456372255342,True,0.0037592433735462727,-0.0001547800206803951,-7.975552053278434e-06,-0.4260220441447018,6.540589342907879
outcome_3d,CORE_LADDER,M3,M2,7837,370,7467,0.6074316180382874,0.18703851828359325,0.044675687428322876,2949.6417355770404,3012.3412380605164,True,0.005216827916707412,-0.0005772844818764666,-2.8359485091493386e-05,-5.048356968931785,8.884865805174286
outcome_5d,CORE_LADDER,M0,,7834,439,7395,0.5749832507034704,0.2136722561481026,0.052632108666122966,3357.816909328471,3392.6480518996,True,,,,,
outcome_5d,CORE_LADDER,M1,M0,7834,439,7395,0.6080204102692055,0.2128111418530154,0.05249462005877691,3346.324970553045,3388.1223416384,True,0.03303715956573505,-0.0008611142950872008,-0.0001374886073460535,-11.491938775425751,-4.525710261199947
outcome_5d,CORE_LADDER,M2,M1,7834,439,7395,0.6124252827358262,0.2125306065207555,0.05247453446994839,3343.9295429671974,3392.693142566778,True,0.004404872466620691,-0.0002805353322598847,-2.008558882852368e-05,-2.395427585847756,4.570800928378048
outcome_5d,CORE_LADDER,M3,M2,7834,439,7395,0.6154192098644501,0.21187909635462285,0.05243936832394935,3337.721681684231,3400.417738312263,True,0.0029939271286238966,-0.0006515101661326572,-3.5166145999042386e-05,-6.207861282966405,7.7245957454847485
outcome_3d,F6A,M2_REF_A,,4225,219,4006,0.6034133730910484,0.20099574370569392,0.04884498217048142,1712.4140343131137,1756.8554560916525,True,,,,,
outcome_3d,F6A,M4A,M2_REF_A,4225,219,4006,0.6045235799269133,0.20044531921524333,0.04882478816553186,1709.7629473688062,1760.5531436871363,True,0.0011102068358649353,-0.0005504244904505906,-2.019400494956275e-05,-2.651086944307508,3.697687595483785
outcome_3d,F6B,M2_REF_B,,4225,219,4006,0.6034133730910484,0.20099574370569392,0.04884498217048142,1712.4140343131137,1756.8554560916525,True,,,,,
outcome_3d,F6B,M4B,M2_REF_B,4225,219,4006,0.6236729380814623,0.19907722158023347,0.04870863407105154,1698.202522352973,1748.992718671303,True,0.020259564990413925,-0.0019185221254604534,-0.0001363480994298824,-14.211511960140797,-7.862737420349504
outcome_5d,F6A,M2_REF_A,,4224,261,3963,0.5986447435715232,0.22860738678694537,0.057571892250033375,1945.2752035761146,1989.7149683538173,True,,,,,
outcome_5d,F6A,M4A,M2_REF_A,4224,261,3963,0.6054548636187416,0.22808431041510144,0.05755650914001357,1942.856254386777,1993.6445569898658,True,0.006810120047218371,-0.000523076371843928,-1.5383110019806523e-05,-2.4189491893375816,3.929588636048493
outcome_5d,F6B,M2_REF_B,,4224,261,3963,0.5986447435715232,0.22860738678694537,0.057571892250033375,1945.2752035761146,1989.7149683538173,True,,,,,
outcome_5d,F6B,M4B,M2_REF_B,4224,261,3963,0.620255563193254,0.22672630917630726,0.05742914213579374,1931.3838599214437,1982.1721625245325,True,0.021610819621730837,-0.0018810776106381044,-0.00014275011423963563,-13.89134365467089,-7.542805829284816
