episode_id,symbol,anchor_date,candidate_date,outcome_event_date,s1_price,current_outcome,s1_source,s1_source_sha,event_date_source,event_date_source_sha,asl_5m_status
000063:20260528:3830,000063,2026-05-28,2026-06-02,2026-06-05,38.78,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002903:20260602:4329,002903,2026-06-02,2026-06-03,2026-06-05,45.6,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002637:20260601:1194,002637,2026-06-01,2026-06-03,2026-06-05,13.3,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002068:20260601:1041,002068,2026-06-01,2026-06-03,2026-06-05,11.03,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600105:20260602:4962,600105,2026-06-02,2026-06-03,2026-06-05,55.99,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600516:20260603:548,600516,2026-06-03,2026-06-04,2026-06-05,5.63,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603065:20260603:839,603065,2026-06-03,2026-06-04,2026-06-05,9.41,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002971:20260604:3739,002971,2026-06-04,2026-06-05,2026-06-10,45.33,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002931:20260604:5786,002931,2026-06-04,2026-06-05,2026-06-08,64.95,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
000670:20260604:967,000670,2026-06-04,2026-06-08,2026-06-09,9.88,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002983:20260605:2484,002983,2026-06-05,2026-06-08,2026-06-11,25.28,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002631:20260605:745,002631,2026-06-05,2026-06-08,2026-06-10,8.38,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002585:20260604:1180,002585,2026-06-04,2026-06-08,2026-06-10,12.98,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
001309:20260604:68085,001309,2026-06-04,2026-06-08,2026-06-10,633.0,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603020:20260605:1067,603020,2026-06-05,2026-06-08,2026-06-09,11.36,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002051:20260604:1202,002051,2026-06-04,2026-06-08,2026-06-10,12.27,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603938:20260605:5282,603938,2026-06-05,2026-06-08,2026-06-10,56.78,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
601869:20260602:40874,601869,2026-06-02,2026-06-08,2026-06-10,487.1,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
