episode_id,symbol,anchor_date,candidate_date,frozen_pattern_3d,recomputed_pattern_3d,frozen_outcome_3d,recomputed_outcome_3d,frozen_outcome_reason,recomputed_outcome_reason,s1_price,invalid_price,first_s1_touch_date,first_invalid_touch_date,conflict_class,candidate_row_reconciliation_status,event_row_reconciliation_status,feature_snapshot_id,feature_snapshot_hash,episode_snapshot_id
601236:20240709:662,601236,2024-07-09,2024-07-10,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 6.72 < S1 6.87,6.87,6.31,2024-07-11,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603030:20240711:202,603030,2024-07-11,2024-07-12,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 2.08 < S1 2.29,2.29,1.98,2024-07-15,2024-07-16,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603375:20240809:4044,603375,2024-08-09,2024-08-13,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 40.56 < S1 43.20,43.2,40.24,2024-08-14,2024-08-15,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603778:20241014:345,603778,2024-10-14,2024-10-16,S1_BEFORE_INVALID,S1_BEFORE_INVALID,SUCCESS,FAILED_BREAKOUT,S1 first + close>=S1 + volume>=signal-day volume,FAILED_ACCEPTANCE: S1 touched but close 3.41 < S1 3.52,3.52,3.3,2024-10-17,,ACCEPTANCE_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
601399:20241028:348,601399,2024-10-28,2024-10-30,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 3.49 < S1 3.60,3.6,3.3,2024-10-31,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
000839:20241028:347,000839,2024-10-28,2024-10-30,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 3.44 < S1 3.79,3.79,3.23,2024-11-01,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002242:20241104:1100,002242,2024-11-04,2024-11-05,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 11.61 < S1 11.90,11.9,10.95,2024-11-08,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600935:20241202:293,600935,2024-12-02,2024-12-04,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 3.03 < S1 3.10,3.1,2.81,2024-12-06,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
603067:20250211:1411,603067,2025-02-11,2025-02-14,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 15.23 < S1 15.38,15.38,14.04,2025-02-19,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600280:20250425:366,600280,2025-04-25,2025-04-29,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 3.51 < S1 3.56,3.56,3.18,2025-05-07,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002010:20250718:652,002010,2025-07-18,2025-07-22,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 6.50 < S1 6.66,6.66,6.09,2025-07-24,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
601975:20250908:336,601975,2025-09-08,2025-09-09,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 3.28 < S1 3.47,3.47,3.08,2025-09-12,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600246:20251113:1197,600246,2025-11-13,2025-11-17,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 12.32 < S1 12.80,12.8,11.91,2025-11-18,2025-11-19,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
000045:20260121:1364,000045,2026-01-21,2026-01-23,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,14.42,12.99,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002890:20260121:1628,002890,2026-01-21,2026-01-23,INVALID_BEFORE_S1,S1_BEFORE_INVALID,STRUCTURE_FAIL,FAILED_BREAKOUT,invalid first within 3 sessions,FAILED_EXPANSION: S1 close accepted but volume < signal-day volume,16.99,15.57,2026-01-28,,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600732:20260123:1474,600732,2026-01-23,2026-01-27,AMBIGUOUS,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,pattern_3d AMBIGUOUS (same-day S1/invalid order unknown),invalid first within 3 sessions,15.09,14.33,,2026-01-28,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
