episode_id,symbol,candidate_date,conflict_class,quarantine_reason,source_forensic_artifact
601236:20240709:662,601236,2024-07-10,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603030:20240711:202,603030,2024-07-12,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603375:20240809:4044,603375,2024-08-13,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603778:20241014:345,603778,2024-10-16,ACCEPTANCE_CHANGED,3D_PROVENANCE_CONFLICT:ACCEPTANCE_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
601399:20241028:348,601399,2024-10-30,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
000839:20241028:347,000839,2024-10-30,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002242:20241104:1100,002242,2024-11-05,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600935:20241202:293,600935,2024-12-04,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603067:20250211:1411,603067,2025-02-14,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600280:20250425:366,600280,2025-04-29,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002010:20250718:652,002010,2025-07-22,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
601975:20250908:336,601975,2025-09-09,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600246:20251113:1197,600246,2025-11-17,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
