episode_id,symbol,name,anchor_date,candidate_date,outcome_3d,outcome_reason_3d,outcome_5d,outcome_reason_5d,time_to_s1_10d,time_to_invalid_10d,first_event_type_10d,first_event_date_10d,window_incomplete_5d,window_incomplete_10d,first_event_right_censored_10d,candidate_reconciliation_status,feature_3d_has_provisional,label_5d_has_provisional,s1_price,invalid_price,data_quality,quality_flags,feature_snapshot_id,label_snapshot_id_5d
600101:20240701:1353,600101,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,2.0,INVALID_FIRST,2024-07-08,False,False,False,CONFIRMED,False,False,15.48,12.61,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000813:20240701:229,000813,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,2.0,1.0,INVALID_FIRST,2024-07-04,False,False,False,CONFIRMED,False,False,2.37,2.18,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002769:20240702:571,002769,,2024-07-02,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-04,False,False,False,CONFIRMED,False,False,6.25,5.58,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600325:20240701:715,600325,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-04,False,False,False,CONFIRMED,False,False,7.51,6.93,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
603918:20240702:1154,603918,金桥信息,2024-07-02,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,13.17,11.31,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600338:20240701:1016,600338,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,2.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,10.67,9.24,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000042:20240701:435,000042,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-04,False,False,False,CONFIRMED,False,False,4.82,4.33,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000520:20240702:260,000520,,2024-07-02,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,2.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,2.75,2.41,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002244:20240701:799,002244,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,7.0,2.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,8.58,7.81,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
003042:20240701:1288,003042,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-04,False,False,False,CONFIRMED,False,False,14.0,12.82,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
