setup_id,symbol,candidate_date,t0_date,first_observation_stage,s1_price,price_tick,event_search_start,event_search_end,setup_ledger_sha256,prior_intraday_ledger_sha256,authority_state_generation
000026:20260810:1907,000026,2026-08-11,2026-08-10,B1_READY,21.8300,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
000537:20260810:832,000537,2026-08-11,2026-08-10,B1_READY,10.5300,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
000603:20260807:3443,000603,2026-08-10,2026-08-07,B1_READY,39.4900,0.01,2026-08-11,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
000656:20260810:129,000656,2026-08-11,2026-08-10,B1_READY,1.3800,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
000657:20260805:5743,000657,2026-08-10,2026-08-05,B2_READY,70.9600,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
000712:20260805:981,000712,2026-08-10,2026-08-05,B2_READY,9.9900,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
000751:20260805:512,000751,2026-08-10,2026-08-05,B2_READY,5.6900,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
000908:20260806:683,000908,2026-08-10,2026-08-06,B2_READY,7.5600,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
000973:20260810:1368,000973,2026-08-11,2026-08-10,B1_READY,14.7300,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
001210:20260805:2079,001210,2026-08-10,2026-08-05,B2_READY,24.2000,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
001225:20260805:4522,001225,2026-08-10,2026-08-05,B2_READY,50.9200,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
001266:20260804:3328,001266,2026-08-10,2026-08-04,B2_READY,43.0000,0.01,2026-08-11,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
001300:20260810:1157,001300,2026-08-11,2026-08-10,B1_READY,12.0600,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
001339:20260804:7197,001339,2026-08-11,2026-08-04,B1_READY,93.6800,0.01,2026-08-12,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
001359:20260805:8617,001359,2026-08-10,2026-08-05,B2_READY,91.2600,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
001378:20260806:1959,001378,2026-08-10,2026-08-06,B2_READY,21.6300,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002012:20260803:606,002012,2026-08-10,2026-08-03,B2_READY,6.8200,0.01,2026-08-11,2026-08-12,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002036:20260805:780,002036,2026-08-10,2026-08-05,B1_READY,7.9500,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002037:20260807:769,002037,2026-08-10,2026-08-07,B1_READY,7.9400,0.01,2026-08-11,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002104:20260806:1176,002104,2026-08-10,2026-08-06,B1_READY,11.7400,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002112:20260810:1770,002112,2026-08-11,2026-08-10,B1_READY,18.5800,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
002119:20260805:2230,002119,2026-08-10,2026-08-05,B2_READY,25.5800,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002176:20260803:903,002176,2026-08-10,2026-08-03,B2_READY,9.5900,0.01,2026-08-11,2026-08-12,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002193:20260810:471,002193,2026-08-11,2026-08-10,B1_READY,5.2000,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
002213:20260805:2886,002213,2026-08-10,2026-08-05,B2_READY,31.7900,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002281:20260807:19304,002281,2026-08-11,2026-08-07,B1_READY,197.3800,0.01,2026-08-12,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
002300:20260810:790,002300,2026-08-11,2026-08-10,B1_READY,8.8500,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
002369:20260806:627,002369,2026-08-10,2026-08-06,B1_READY,6.2200,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002370:20260810:581,002370,2026-08-11,2026-08-10,B1_READY,6.2000,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
002384:20260804:17909,002384,2026-08-10,2026-08-04,B2_READY,211.9000,0.01,2026-08-11,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002388:20260810:574,002388,2026-08-11,2026-08-10,B1_READY,6.9900,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
002396:20260805:2870,002396,2026-08-10,2026-08-05,B2_READY,31.8900,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002407:20260806:3609,002407,2026-08-10,2026-08-06,B2_READY,39.7100,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002484:20260804:5931,002484,2026-08-10,2026-08-04,B2_READY,69.9500,0.01,2026-08-11,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002541:20260810:2057,002541,2026-08-11,2026-08-10,B1_READY,21.5200,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
002580:20260810:2099,002580,2026-08-11,2026-08-10,B1_READY,27.6900,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
002607:20260805:235,002607,2026-08-10,2026-08-05,B2_READY,2.3100,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002647:20260810:1049,002647,2026-08-11,2026-08-10,B1_READY,11.6500,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
002681:20260803:476,002681,2026-08-10,2026-08-03,B2_READY,5.1000,0.01,2026-08-11,2026-08-12,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002686:20260806:657,002686,2026-08-10,2026-08-06,B2_READY,7.2200,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
002696:20260810:603,002696,2026-08-11,2026-08-10,B1_READY,6.2900,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
