section,key,value,status
authority,R1_PROVENANCE_STATUS,INTERIM_PARTIAL_PROVENANCE,PASS
authority,R1_FORWARD_AUTHORITY,FALSE,PASS
authority,LEGACY_LABEL_ROLE,SECONDARY_DIAGNOSTIC_ONLY_NOT_R9_PRIMARY_ENDPOINT,PASS
population,R9_SETUP_ID,"make_setup_id(symbol, anchor_date, anchor_price, price_tick); strategy_version is provenance, not part of the historical-compatible key",PASS
population,R9_POPULATION_STATUS,PASS_NEW_PROSPECTIVE_V01,PASS
ttl,R9_ADMINISTRATIVE_TTL_VERSION,R9_V01_ADMINISTRATIVE_TTL,PASS
ttl,TTL_SELECTION_BASIS,OWNER_PROSPECTIVE_DESIGN,PASS
ttl,R9_OBSERVATION_TTL,7_SUBSEQUENT_A_SHARE_TRADING_SESSIONS,PASS
ttl,TTL_ANCHOR,anchor_date/T0,PASS
ttl,TTL_WINDOW,T+1...T+7,PASS
ttl,STRUCTURAL_INVALIDATION_STATUS,DEFERRED_TO_EXISTING_STATE_SEMANTICS,PASS
event,FIRST_S1_TOUCH_EVENT,FIRST_S1_TOUCH_EVENT,PASS
event,REPEAT_CONFIRMATION_CREATES_NEW_EVENT,FALSE,PASS
event,PROSPECTIVE_EVENT_ELIGIBILITY,PASS_OWNER_FROZEN_V01,PASS
intraday,R9_PRIMARY_CHECKPOINT,10:30,PASS
intraday,PRIMARY_INTRADAY_FEATURE,breakout_hold_ratio,PASS
daily,PRIMARY_DAILY_COMPARISON,M1_vs_M0,PASS
daily,M2_ROLE,SECONDARY_LOCKED_NO_REFIT,PASS
daily,M2_SCORE_SEMANTICS,SECONDARY_ONLY_RAW_COEFFICIENT_RANK_SCORE,PASS
daily,R7_COEFFICIENTS_SHA,39de709f424194be1a28d7e8e21be24c09824abc734027b29299a4b0452749ed,PASS
endpoint,PRIMARY_ENDPOINT,FWD3_CLOSE_RETURN,PASS
endpoint,SENSITIVITY_ENDPOINT,FWD5_CLOSE_RETURN,PASS
uncertainty,SYMBOL_CLUSTER_BOOTSTRAP,2000,PASS
uncertainty,TRADE_WEEK_BLOCK_BOOTSTRAP,2000,PASS
stopping,INITIAL_WINDOW_A_SHARE_SESSIONS,60,PASS
provenance,ASL_CODE_SHA,04bd94936587b35cae55c833627260866d025184,PASS
provenance,R9_ASL_DATA_ROOT,/Users/luke808/AI/asl-r9-prospective-research-v01,PASS
provenance,PROTOCOL_FREEZE_DATE,2026-08-09,PASS
provenance,PROTOCOL_FREEZE_CALENDAR_VERSION,R9_PROTOCOL_FREEZE_CALENDAR_V01,PASS
provenance,PROTOCOL_FREEZE_CALENDAR_ARTIFACT,r9_protocol_freeze_calendar_v01.csv,PASS
provenance,PROTOCOL_FREEZE_CALENDAR_HASH,9304f0409d7e95b54e2ba90f361d0228624cb313722ad4a97a2fa1b891087d2e,PASS
provenance,OOS_START,2026-08-10,PASS
provenance,R9_RUN_CALENDAR_AUTHORITY_VERSION,R9_RUN_CALENDAR_AUTHORITY_V01,PASS
provenance,R9_RUN_CALENDAR_AUTHORITY_ARTIFACT,r9_run_calendar_authority_v01.json,PASS
provenance,R9_RUN_CALENDAR_VERSION,R9_RUN_CALENDAR_V01,PASS
provenance,R9_RUN_CALENDAR_ARTIFACT,r9_run_calendar_v01.csv,PASS
provenance,R9_RUN_CALENDAR_MANIFEST_HASH,e8cc0a7de26c7e30310aa403ab963f1eb738bd2d24887ca5474f9fb3c6bd0b2c,PASS
provenance,R9_RUN_CALENDAR_ASL_COMMIT,04bd94936587b35cae55c833627260866d025184,PASS
provenance,R9_RUN_CALENDAR_ASL_BLOB_SHA,56d70136828c653ac7610b932f3356859fa86bd5,PASS
provenance,PROTOCOL_FREEZE_RECEIPT_TAG,r9-protocol-freeze-v03,PASS
authorization,R9_ACCUMULATION_WRITE_AUTHORITY,POST_COMMIT_RECEIPT_REQUIRED,PASS
publication,ATOMIC_PUBLICATION_STEPS,WRITE_TEMPORARY_ARTIFACT -> SCHEMA_CHECK -> HASH -> PIT_CHECK -> RECONCILIATION -> ATOMIC_RENAME_OR_PROMOTION,PASS
gate,GATE_1_R1_AUTHORITY_BOUNDARY,PASS,PASS
gate,GATE_2A_PROSPECTIVE_POPULATION,PASS,PASS
gate,GATE_2B_OBSERVATION_TTL,PASS_OWNER_FROZEN_V01,PASS
gate,GATE_2_POPULATION_EVENT_TTL,PASS,PASS
gate,GATE_3_INDEPENDENT_ENDPOINT,PASS,PASS
gate,GATE_4_MULTIPLICITY_UNCERTAINTY,PASS,PASS
gate,GATE_5_ASL_PROVENANCE_ATOMICITY,PASS,PASS
authorization,PRE_R9_STATUS,GO,PASS
authorization,R9_RECOMMENDATION,AUTHORIZED_TO_FREEZE_AND_ACCUMULATE,PASS
authorization,R9_OOS_ROWS_WRITTEN,0,PASS
